ТnЦЉ,РlМы,ФNП≠РlМы,0Б` 4Нќ,5Б` 9,10Б`14,РґОYФNЧо  Рl    Мы,15Б`19Нќ,20Б`24,25Б`29,30Б`34,35Б`39,40Б`44,45Б`49,50Б`54,55Б`59,60Б`64,ШVФNРlМы,65Б`69Нќ,70Б`74,75Б`79,80Б`84,85Б`89,90Б`94,95Б`99,100Нќ  И»Пг
СSОs,"1,860,379","238,013","74,523","78,925","84,565","1,316,716","99,237","128,700","143,428","154,861","135,029","126,173","123,628","148,318","141,461","115,881","305,650","94,858","82,502","61,152","37,429","19,052","8,258","2,135",264
ТЖЙЫЛж,"190,921","21,423","7,077","7,142","7,204","137,649","8,510","14,288","15,926","17,085","15,880","14,475","12,905","14,055","13,660","10,865","31,849","9,212","8,494","6,544","4,131","2,087","1,052",290,39
СеТ УМ 2ТЪЦЏ,34,2,1,Б|,1,21,1,2,2,Б|,3,2,3,2,2,4,11,6,2,1,Б|,1,1,Б|,Б|
СеТ УМ 3ТЪЦЏ,87,Б|,Б|,Б|,Б|,74,7,13,23,6,8,1,5,7,4,Б|,13,1,2,4,3,3,Б|,Б|,Б|
СеТ УМ 4ТЪЦЏ,94,3,3,Б|,Б|,69,12,19,9,5,2,Б|,7,9,4,2,22,4,5,1,5,4,3,Б|,Б|
СеТ УМ 5ТЪЦЏ,189,2,Б|,1,1,134,5,23,20,17,5,6,12,16,17,13,53,12,7,11,12,7,4,Б|,Б|
СеТ УМ 6ТЪЦЏ,24,3,Б|,3,Б|,16,1,5,4,Б|,3,3,Б|,Б|,Б|,Б|,5,2,2,Б|,Б|,Б|,1,Б|,Б|
СеТ УМ 7ТЪЦЏ,234,25,14,4,7,179,5,21,30,34,24,16,14,17,10,8,30,8,4,8,8,1,1,Б|,Б|
СеТ УМ 8ТЪЦЏ,371,36,11,14,11,294,10,43,41,50,33,32,29,21,21,14,41,15,8,10,6,1,1,Б|,Б|
СеТ УМ 9ТЪЦЏ,258,32,10,11,11,201,3,6,24,36,20,34,26,19,14,19,25,11,6,2,2,2,2,Б|,Б|
СеТ УМ10ТЪЦЏ,376,61,25,24,12,279,19,21,28,31,31,46,35,36,16,16,36,10,10,10,4,2,Б|,Б|,Б|
СеТ УМ11ТЪЦЏ,189,8,1,2,5,111,4,5,9,2,5,12,11,21,19,23,70,34,23,7,3,1,2,Б|,Б|
СеТ УМ12ТЪЦЏ,60,4,1,1,2,41,7,1,1,6,1,3,4,8,5,5,15,5,6,1,1,2,Б|,Б|,Б|
СеТ РЉ 1ТЪЦЏ,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 5ТЪЦЏ,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 6ТЪЦЏ,17,Б|,Б|,Б|,Б|,13,Б|,Б|,1,Б|,2,3,Б|,4,3,Б|,4,1,1,Б|,1,1,Б|,Б|,Б|
СеТ РЉ 8ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 9ТЪЦЏ,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ10ТЪЦЏ,162,5,2,2,1,93,2,4,7,8,14,10,8,10,15,15,64,19,20,10,10,3,2,Б|,Б|
СеТ РЉ11ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ12ТЪЦЏ,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ13ТЪЦЏ,21,Б|,Б|,Б|,Б|,15,Б|,5,5,2,Б|,Б|,1,Б|,1,1,6,Б|,2,2,2,Б|,Б|,Б|,Б|
СеТ РЉ14ТЪЦЏ,125,16,4,6,6,95,6,21,18,8,10,8,6,4,10,4,14,4,5,1,1,2,Б|,1,Б|
СеТ РЉ15ТЪЦЏ,338,17,14,2,1,260,10,38,38,43,28,18,16,25,15,29,61,14,15,18,6,1,5,2,Б|
СеТ РЉ16ТЪЦЏ,335,19,9,4,6,276,11,32,33,36,28,30,28,25,26,27,40,14,9,6,5,4,2,Б|,Б|
СеТ РЉ17ТЪЦЏ,295,8,2,2,4,243,20,62,46,37,11,17,11,13,14,12,44,16,9,7,6,4,1,1,Б|
СеТ РЉ18ТЪЦЏ,347,13,5,8,Б|,269,7,45,40,34,41,16,18,22,27,19,65,18,16,18,10,1,1,1,Б|
СеТ РЉ19ТЪЦЏ,198,6,3,2,1,117,2,21,14,14,11,10,12,15,9,9,75,11,13,13,18,9,9,2,Б|
СеТ РЉ20ТЪЦЏ,251,18,4,10,4,180,8,14,20,17,23,20,26,16,23,13,53,4,20,14,12,2,Б|,Б|,1
СеТ РЉ21ТЪЦЏ,243,14,3,6,5,169,12,9,30,13,22,21,13,12,24,13,60,14,21,12,8,2,2,1,Б|
СеТ РЉ22ТЪЦЏ,252,26,5,9,12,193,11,19,30,25,29,20,14,17,17,11,33,7,8,10,2,3,3,Б|,Б|
СеТ РЉ23ТЪЦЏ,460,43,9,19,15,371,14,47,45,52,51,38,40,31,32,21,46,9,13,15,6,2,Б|,1,Б|
СеТ РЉ24ТЪЦЏ,467,45,15,12,18,347,16,28,33,34,38,36,43,48,42,29,75,25,18,17,11,3,1,Б|,Б|
СеТ РЉ25ТЪЦЏ,70,7,1,1,5,39,2,1,5,1,8,2,5,6,4,5,24,7,7,4,2,1,2,1,Б|
СеТ РЉ26ТЪЦЏ,242,17,4,6,7,191,14,34,19,28,20,18,16,10,13,19,34,6,11,10,3,4,Б|,Б|,Б|
СеТ РЉ27ТЪЦЏ,147,22,9,9,4,104,6,3,6,13,8,20,14,10,17,7,21,3,8,8,2,Б|,Б|,Б|,Б|
СеТ РЉ28ТЪЦЏ,240,40,26,11,3,163,4,5,18,37,42,23,8,14,4,8,37,13,11,6,6,Б|,1,Б|,Б|
Ум 1ПрУМ 2ТЪЦЏ,114,5,3,2,Б|,104,1,9,29,23,13,7,6,9,4,3,5,Б|,3,1,1,Б|,Б|,Б|,Б|
Ум 1ПрУМ 3ТЪЦЏ,266,26,14,7,5,205,8,18,22,28,29,24,18,27,15,16,35,12,14,3,4,2,Б|,Б|,Б|
Ум 1ПрУМ 4ТЪЦЏ,84,4,3,1,Б|,67,1,5,10,6,11,13,7,6,5,3,13,Б|,5,4,3,1,Б|,Б|,Б|
Ум 1ПрУМ 5ТЪЦЏ,325,32,17,11,4,260,9,16,21,26,34,47,27,35,31,14,33,12,4,8,5,4,Б|,Б|,Б|
Ум 1ПрУМ 6ТЪЦЏ,154,14,3,5,6,113,3,13,14,18,18,16,9,7,9,6,27,8,7,8,2,2,Б|,Б|,Б|
Ум 1ПрУМ 7ТЪЦЏ,345,51,16,21,14,247,15,19,29,31,35,18,27,23,27,23,47,13,10,10,9,3,2,Б|,Б|
Ум 1ПрУМ 8ТЪЦЏ,12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрУМ 1ТЪЦЏ,57,2,Б|,1,1,33,Б|,6,4,2,1,2,2,7,6,3,22,5,4,4,4,4,Б|,1,Б|
Ум 2ПрУМ 2ТЪЦЏ,179,3,1,1,1,156,12,31,23,20,14,12,10,11,13,10,20,4,7,4,3,2,Б|,Б|,Б|
Ум 2ПрУМ 3ТЪЦЏ,236,6,Б|,4,2,201,4,26,33,39,34,21,9,18,6,11,29,10,7,8,Б|,2,2,Б|,Б|
Ум 2ПрУМ 4ТЪЦЏ,231,15,9,4,2,153,7,8,14,17,18,15,7,27,27,13,63,17,18,10,10,5,3,Б|,Б|
Ум 2ПрУМ 5ТЪЦЏ,165,19,5,5,9,124,6,15,19,14,9,14,10,12,15,10,22,7,1,5,5,2,2,Б|,Б|
Ум 2ПрУМ 6ТЪЦЏ,608,40,14,12,14,409,21,34,26,30,34,27,45,71,55,66,159,58,45,24,22,8,1,1,Б|
Ум 3ПрУМ 1ТЪЦЏ,153,11,3,5,3,101,6,9,6,14,4,15,13,11,10,13,41,19,9,5,7,Б|,1,Б|,Б|
Ум 3ПрУМ 2ТЪЦЏ,296,18,7,6,5,214,7,26,15,24,21,23,13,23,31,31,64,15,21,16,8,3,1,Б|,Б|
Ум 3ПрУМ 3ТЪЦЏ,65,3,1,2,Б|,41,1,12,8,3,3,2,4,1,6,1,21,2,6,4,2,5,2,Б|,Б|
Ум 3ПрУМ 4ТЪЦЏ,332,26,12,3,11,274,14,45,45,31,30,26,25,16,14,28,32,14,8,4,2,2,Б|,2,Б|
Ум 3ПрУМ 6ТЪЦЏ,21,Б|,Б|,Б|,Б|,17,Б|,1,6,1,Б|,Б|,2,3,2,2,4,Б|,Б|,2,2,Б|,Б|,Б|,Б|
Ум 4ПрУМ 1ТЪЦЏ,42,3,2,1,Б|,29,3,2,1,3,4,6,4,2,1,3,10,4,2,3,Б|,1,Б|,Б|,Б|
Ум 4ПрУМ 2ТЪЦЏ,195,3,3,Б|,Б|,159,2,23,27,31,19,4,13,19,14,7,33,11,6,8,4,1,2,1,Б|
