ТnЦЉ,РlМы,ФNП≠РlМы,0Б` 4Нќ,5Б` 9,10Б`14,РґОYФNЧо  Рl    Мы,15Б`19Нќ,20Б`24,25Б`29,30Б`34,35Б`39,40Б`44,45Б`49,50Б`54,55Б`59,60Б`64,ШVФNРlМы,65Б`69Нќ,70Б`74,75Б`79,80Б`84,85Б`89,90Б`94,95Б`99,100Нќ  И»Пг
СSОs,"1,838,125","243,119","75,933","79,844","87,342","1,312,415","105,487","133,062","152,397","148,842","129,202","122,874","129,279","162,641","121,943","106,688","282,591","93,087","77,382","53,654","32,142","17,328","7,171","1,647",180
ТЖЙЫЛж,"183,438","20,994","6,867","6,859","7,268","132,646","8,935","13,889","15,943","16,311","14,559","13,527","12,684","15,271","11,626","9,901","29,798","9,326","7,993","5,759","3,565","1,970",914,241,30
СеТ УМ 2ТЪЦЏ,36,1,1,Б|,Б|,21,Б|,2,2,2,2,4,2,1,2,4,14,8,3,Б|,Б|,2,1,Б|,Б|
СеТ УМ 3ТЪЦЏ,63,2,1,1,Б|,48,13,9,2,2,4,1,2,13,1,1,13,2,1,4,3,2,1,Б|,Б|
СеТ УМ 4ТЪЦЏ,81,3,2,Б|,1,57,9,15,7,3,1,3,6,7,3,3,21,8,1,2,3,7,Б|,Б|,Б|
СеТ УМ 5ТЪЦЏ,203,6,1,2,3,145,14,17,22,13,5,8,15,17,20,14,52,7,10,16,12,5,2,Б|,Б|
СеТ УМ 6ТЪЦЏ,24,3,Б|,3,Б|,17,Б|,5,4,4,1,2,Б|,Б|,Б|,1,4,2,1,Б|,Б|,Б|,1,Б|,Б|
СеТ УМ 7ТЪЦЏ,166,20,7,7,6,120,6,12,14,20,20,10,5,19,6,8,26,2,5,12,4,3,Б|,Б|,Б|
СеТ УМ 8ТЪЦЏ,331,32,13,11,8,257,14,25,33,48,27,29,30,25,13,13,42,16,11,7,5,1,1,1,Б|
СеТ УМ 9ТЪЦЏ,244,21,9,7,5,194,2,10,38,20,24,26,19,22,18,15,29,12,6,4,4,3,Б|,Б|,Б|
СеТ УМ10ТЪЦЏ,340,59,24,19,16,249,18,14,24,32,37,34,37,23,24,6,32,12,6,8,5,1,Б|,Б|,Б|
СеТ УМ11ТЪЦЏ,202,10,2,3,5,122,5,8,8,6,10,9,13,17,20,26,70,37,20,3,3,4,2,1,Б|
СеТ УМ12ТЪЦЏ,66,5,1,Б|,4,43,7,4,3,4,1,5,5,5,5,4,18,6,5,2,3,2,Б|,Б|,Б|
СеТ РЉ 6ТЪЦЏ,14,Б|,Б|,Б|,Б|,10,Б|,Б|,1,1,1,1,1,5,Б|,Б|,4,2,Б|,Б|,1,1,Б|,Б|,Б|
СеТ РЉ 8ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 9ТЪЦЏ,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ10ТЪЦЏ,156,6,1,2,3,97,2,4,5,15,6,12,8,13,12,20,53,18,15,6,9,4,1,Б|,Б|
СеТ РЉ11ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
