ТnЦЉ,РlМы,ФNП≠РlМы,0Б` 4Нќ,5Б` 9,10Б`14,РґОYФNЧо  Рl    Мы,15Б`19Нќ,20Б`24,25Б`29,30Б`34,35Б`39,40Б`44,45Б`49,50Б`54,55Б`59,60Б`64,ШVФNРlМы,65Б`69Нќ,70Б`74,75Б`79,80Б`84,85Б`89,90Б`94,95Б`99,100Нќ  И»Пг
СSОs,"1,904,615","226,334","72,658","74,212","79,464","1,283,528","86,618","104,141","119,870","131,785","152,784","145,408","127,460","121,907","132,970","160,585","394,753","111,901","94,937","79,739","58,241","32,509","13,083","3,736",607
ТЖЙЫЛж,"215,151","23,031","7,779","7,466","7,786","151,542","8,223","12,946","16,741","16,968","18,724","18,603","16,019","13,979","13,526","15,813","40,578","10,889","9,198","8,479","6,378","3,625","1,462",450,97
СеТ УМ 2ТЪЦЏ,244,26,15,7,4,174,12,8,6,22,30,31,18,22,13,12,44,13,11,9,6,4,1,Б|,Б|
СеТ УМ 3ТЪЦЏ,206,3,3,Б|,Б|,195,20,36,37,37,29,10,8,6,6,6,8,1,Б|,Б|,2,3,1,1,Б|
СеТ УМ 4ТЪЦЏ,153,22,11,8,3,120,10,9,19,28,20,8,3,3,13,7,11,2,3,3,1,2,Б|,Б|,Б|
СеТ УМ 5ТЪЦЏ,190,2,2,Б|,Б|,145,3,21,32,29,13,10,2,9,13,13,43,10,12,2,5,8,5,1,Б|
СеТ УМ 6ТЪЦЏ,26,2,Б|,Б|,2,20,3,1,6,3,3,1,3,Б|,Б|,Б|,4,Б|,1,2,Б|,Б|,Б|,Б|,1
СеТ УМ 7ТЪЦЏ,277,30,11,17,2,219,5,16,43,41,31,27,13,15,9,19,28,5,10,3,3,7,Б|,Б|,Б|
СеТ УМ 8ТЪЦЏ,389,34,12,10,12,311,14,31,55,32,36,32,29,26,26,30,44,15,12,5,7,2,3,Б|,Б|
СеТ УМ 9ТЪЦЏ,279,31,10,9,12,204,11,12,14,16,23,37,26,24,15,26,44,11,13,12,4,2,2,Б|,Б|
СеТ УМ10ТЪЦЏ,426,58,14,17,27,316,22,14,25,22,42,45,39,39,41,27,52,20,7,8,8,7,1,1,Б|
СеТ УМ11ТЪЦЏ,201,11,4,4,3,102,8,9,2,15,7,4,11,9,17,20,88,23,23,30,9,1,1,1,Б|
СеТ УМ12ТЪЦЏ,40,1,Б|,Б|,1,26,Б|,5,2,Б|,2,2,2,3,4,6,13,4,4,1,1,1,1,1,Б|
СеТ РЉ 6ТЪЦЏ,72,2,2,Б|,Б|,62,1,1,8,8,13,4,11,6,4,6,8,1,1,3,Б|,1,1,1,Б|
СеТ РЉ 7ТЪЦЏ,82,7,3,4,Б|,56,Б|,3,Б|,2,8,15,4,3,15,6,19,4,3,2,2,7,1,Б|,Б|
СеТ РЉ 8ТЪЦЏ,99,4,3,1,Б|,90,Б|,9,20,17,12,10,6,5,8,3,5,2,1,1,Б|,1,Б|,Б|,Б|
СеТ РЉ 9ТЪЦЏ,75,3,3,Б|,Б|,44,2,Б|,2,Б|,9,6,4,3,3,15,28,11,6,6,2,2,1,Б|,Б|
СеТ РЉ10ТЪЦЏ,23,1,1,Б|,Б|,14,1,1,2,Б|,2,4,Б|,2,1,1,8,3,1,1,1,1,1,Б|,Б|
СеТ РЉ11ТЪЦЏ,12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ12ТЪЦЏ,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ13ТЪЦЏ,110,5,5,Б|,Б|,102,Б|,10,27,18,17,9,5,7,6,3,3,Б|,1,1,Б|,1,Б|,Б|,Б|
СеТ РЉ14ТЪЦЏ,162,3,1,1,1,136,9,33,21,15,16,12,9,7,7,7,23,8,4,7,2,Б|,1,Б|,1
СеТ РЉ15ТЪЦЏ,511,26,16,2,8,397,18,52,68,55,51,40,37,23,22,31,88,23,19,16,16,10,3,1,Б|
СеТ РЉ16ТЪЦЏ,334,20,8,4,8,246,11,29,35,25,19,29,21,29,24,24,68,17,23,4,9,11,Б|,4,Б|
СеТ РЉ17ТЪЦЏ,413,8,4,4,Б|,359,14,45,73,64,46,32,28,17,17,23,46,13,14,8,6,4,1,Б|,Б|
СеТ РЉ18ТЪЦЏ,403,25,15,7,3,303,7,29,40,42,34,43,27,26,25,30,75,21,17,15,15,7,Б|,Б|,Б|
СеТ РЉ19ТЪЦЏ,206,10,6,3,1,112,4,4,15,11,14,17,11,12,10,14,84,7,17,15,22,12,9,2,Б|
