ТnЦЉ,РlМы,ФNП≠РlМы,0Б` 4Нќ,5Б` 9,10Б`14,РґОYФNЧо  Рl    Мы,15Б`19Нќ,20Б`24,25Б`29,30Б`34,35Б`39,40Б`44,45Б`49,50Б`54,55Б`59,60Б`64,ШVФNРlМы,65Б`69Нќ,70Б`74,75Б`79,80Б`84,85Б`89,90Б`94,95Б`99,100Нќ  И»Пг
СSОs,"1,885,064","229,655","71,588","75,866","82,201","1,295,426","89,182","116,349","126,691","144,473","150,847","132,596","125,527","124,315","155,766","129,680","359,983","107,175","90,390","73,259","49,309","25,725","10,677","3,019",429
ТЖЙЫЛж,"205,051","22,237","7,300","7,373","7,564","145,696","8,099","14,240","16,111","16,985","18,281","16,614","14,705","12,970","15,060","12,631","37,118","10,219","9,109","7,833","5,384","2,959","1,179",373,62
СеТ УМ 2ТЪЦЏ,228,21,13,4,4,172,7,4,16,22,35,21,23,16,15,13,35,11,10,6,7,1,Б|,Б|,Б|
СеТ УМ 3ТЪЦЏ,167,1,Б|,Б|,1,154,15,22,43,27,15,6,10,2,11,3,12,1,1,2,4,2,2,Б|,Б|
СеТ УМ 4ТЪЦЏ,78,6,Б|,5,1,63,7,7,15,7,5,4,Б|,8,6,4,9,1,4,2,1,1,Б|,Б|,Б|
СеТ УМ 5ТЪЦЏ,148,2,1,Б|,1,98,1,12,16,16,8,4,3,9,13,16,48,16,8,2,10,10,1,1,Б|
СеТ УМ 6ТЪЦЏ,28,3,Б|,Б|,3,20,Б|,6,5,5,Б|,2,2,Б|,Б|,Б|,5,Б|,2,2,Б|,Б|,Б|,1,Б|
СеТ УМ 7ТЪЦЏ,259,26,13,8,5,203,5,25,42,34,35,13,12,7,19,11,30,14,2,3,8,3,Б|,Б|,Б|
СеТ УМ 8ТЪЦЏ,388,28,7,8,13,312,11,33,54,37,43,26,36,27,26,19,48,17,12,7,8,4,Б|,Б|,Б|
СеТ УМ 9ТЪЦЏ,283,35,13,9,13,207,10,7,12,33,36,26,30,22,16,15,41,17,10,7,3,2,2,Б|,Б|
СеТ УМ10ТЪЦЏ,374,66,16,20,30,269,13,13,11,27,37,34,42,34,32,26,39,9,10,8,8,3,1,Б|,Б|
СеТ УМ11ТЪЦЏ,200,9,3,1,5,109,4,8,7,9,10,8,14,11,19,19,82,24,32,19,5,Б|,2,Б|,Б|
СеТ УМ12ТЪЦЏ,44,3,2,Б|,1,29,3,5,1,2,3,1,2,5,3,4,12,5,2,1,1,2,1,Б|,Б|
СеТ РЉ 6ТЪЦЏ,14,Б|,Б|,Б|,Б|,10,Б|,Б|,Б|,Б|,Б|,2,Б|,1,5,2,4,Б|,2,Б|,Б|,1,1,Б|,Б|
СеТ РЉ 7ТЪЦЏ,72,4,2,2,Б|,51,1,1,Б|,7,12,6,5,5,12,2,17,6,1,2,6,1,1,Б|,Б|
СеТ РЉ 8ТЪЦЏ,96,6,2,2,2,87,Б|,23,18,9,14,9,3,5,3,3,3,1,Б|,1,1,Б|,Б|,Б|,Б|
СеТ РЉ 9ТЪЦЏ,74,4,4,Б|,Б|,51,Б|,Б|,2,8,5,4,3,6,10,13,19,5,5,3,3,3,Б|,Б|,Б|
СеТ РЉ10ТЪЦЏ,29,1,Б|,1,Б|,19,1,1,Б|,1,5,3,3,2,Б|,3,9,1,2,3,Б|,2,1,Б|,Б|
СеТ РЉ11ТЪЦЏ,9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ12ТЪЦЏ,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ13ТЪЦЏ,87,4,4,Б|,Б|,77,2,6,21,26,7,4,3,6,1,1,6,1,Б|,1,2,2,Б|,Б|,Б|
СеТ РЉ14ТЪЦЏ,150,6,1,3,2,133,7,33,23,21,11,10,5,5,8,10,11,3,4,2,Б|,Б|,1,1,Б|
СеТ РЉ15ТЪЦЏ,419,19,8,6,5,320,9,61,66,44,35,28,19,12,31,15,80,22,16,13,19,5,3,2,Б|
СеТ РЉ16ТЪЦЏ,314,13,4,6,3,232,16,27,23,17,32,23,26,21,31,16,69,27,15,9,10,3,4,1,Б|
СеТ РЉ17ТЪЦЏ,317,8,4,1,3,265,6,51,68,39,21,24,16,12,14,14,44,8,15,9,7,3,1,1,Б|
СеТ РЉ18ТЪЦЏ,362,16,10,2,4,278,7,34,45,34,25,33,27,19,28,26,68,17,20,16,9,5,1,Б|,Б|
СеТ РЉ19ТЪЦЏ,196,4,1,1,2,111,5,11,17,9,12,15,14,9,12,7,81,9,14,19,18,15,5,1,Б|
СеТ РЉ20ТЪЦЏ,261,20,7,4,9,187,5,19,21,13,23,20,17,25,21,23,54,10,8,15,15,4,2,Б|,Б|
СеТ РЉ21ТЪЦЏ,227,12,3,4,5,159,7,12,9,31,16,26,17,11,14,16,56,13,16,16,6,3,Б|,2,Б|
СеТ РЉ22ТЪЦЏ,257,17,6,2,9,202,11,16,15,31,30,20,26,17,20,16,38,8,10,8,8,3,Б|,1,Б|
СеТ РЉ23ТЪЦЏ,415,37,10,9,18,327,15,29,46,35,50,40,37,21,30,24,51,12,8,15,11,2,3,Б|,Б|
СеТ РЉ24ТЪЦЏ,443,49,20,12,17,307,11,17,29,31,37,50,31,25,40,36,87,24,28,13,14,6,2,Б|,Б|
СеТ РЉ25ТЪЦЏ,62,1,Б|,Б|,1,32,5,1,1,4,1,4,3,4,9,Б|,29,7,9,5,4,3,Б|,Б|,1
СеТ РЉ26ТЪЦЏ,236,14,5,5,4,173,11,27,21,15,26,19,18,14,13,9,49,19,5,13,6,5,1,Б|,Б|
СеТ РЉ27ТЪЦЏ,156,24,7,10,7,102,4,5,4,11,14,9,21,14,10,10,30,7,6,7,7,3,Б|,Б|,Б|
СеТ РЉ28ТЪЦЏ,221,28,17,7,4,159,2,9,16,29,40,20,11,11,11,10,34,7,12,10,3,2,Б|,Б|,Б|
Ум 1ПрУМ 2ТЪЦЏ,236,7,6,Б|,1,221,2,35,52,49,32,18,14,9,9,1,8,2,2,3,Б|,1,Б|,Б|,Б|
Ум 1ПрУМ 3ТЪЦЏ,368,33,18,7,8,290,10,18,44,46,38,39,26,23,28,18,45,11,16,12,2,3,1,Б|,Б|
Ум 1ПрУМ 4ТЪЦЏ,87,9,7,2,Б|,59,Б|,7,5,4,8,8,10,7,6,4,19,2,5,6,6,Б|,Б|,Б|,Б|
Ум 1ПрУМ 5ТЪЦЏ,371,49,24,19,6,275,9,13,15,26,34,34,47,34,39,24,47,16,8,6,12,4,1,Б|,Б|
Ум 1ПрУМ 6ТЪЦЏ,218,27,12,5,10,164,5,22,28,20,32,16,14,12,8,7,27,10,5,4,4,2,2,Б|,Б|
