ТnЦЉ,РlМы,ФNП≠РlМы,0Б` 4Нќ,5Б` 9,10Б`14,РґОYФNЧо  Рl    Мы,15Б`19Нќ,20Б`24,25Б`29,30Б`34,35Б`39,40Б`44,45Б`49,50Б`54,55Б`59,60Б`64,ШVФNРlМы,65Б`69Нќ,70Б`74,75Б`79,80Б`84,85Б`89,90Б`94,95Б`99,100Нќ  И»Пг
СSОs,"1,896,225","226,542","71,976","74,494","80,072","1,285,984","87,404","107,306","121,651","135,470","154,105","137,200","129,554","121,618","139,023","152,653","383,699","112,178","91,756","78,020","55,208","30,259","12,251","3,456",571
ТЖЙЫЛж,"211,726","22,629","7,596","7,364","7,669","149,635","8,159","13,491","16,549","16,960","18,751","17,531","15,965","13,484","13,700","15,045","39,462","10,809","8,937","8,334","6,107","3,348","1,387",444,96
СеТ УМ 2ТЪЦЏ,239,18,10,5,3,176,10,4,8,27,34,28,24,15,14,12,45,11,11,14,5,3,1,Б|,Б|
СеТ УМ 3ТЪЦЏ,188,3,3,Б|,Б|,175,12,32,42,34,22,11,6,3,9,4,10,Б|,Б|,2,3,3,1,1,Б|
СеТ УМ 4ТЪЦЏ,139,19,11,6,2,107,1,11,24,23,16,9,3,2,11,7,13,5,2,3,1,2,Б|,Б|,Б|
СеТ УМ 5ТЪЦЏ,162,1,1,Б|,Б|,120,3,14,27,21,13,5,5,6,12,14,41,9,12,2,7,6,4,1,Б|
СеТ УМ 6ТЪЦЏ,28,3,Б|,Б|,3,20,Б|,3,5,6,2,1,3,Б|,Б|,Б|,5,Б|,2,2,Б|,Б|,Б|,Б|,1
СеТ УМ 7ТЪЦЏ,278,34,17,16,1,215,6,17,41,42,31,28,9,13,9,19,29,7,8,5,5,4,Б|,Б|,Б|
СеТ УМ 8ТЪЦЏ,390,34,13,10,11,311,11,39,50,32,39,33,34,26,24,23,45,14,12,5,7,5,2,Б|,Б|
СеТ УМ 9ТЪЦЏ,270,31,7,11,13,198,11,10,14,19,27,27,32,24,13,21,41,17,7,9,4,3,1,Б|,Б|
СеТ УМ10ТЪЦЏ,423,64,17,20,27,311,18,16,23,34,35,41,44,34,39,27,48,13,10,8,10,5,1,1,Б|
СеТ УМ11ТЪЦЏ,196,13,3,5,5,101,6,8,3,12,8,3,16,8,19,18,82,24,26,23,6,1,2,Б|,Б|
СеТ УМ12ТЪЦЏ,41,2,1,Б|,1,26,2,2,3,Б|,3,1,2,4,4,5,13,6,2,1,1,1,2,Б|,Б|
СеТ РЉ 6ТЪЦЏ,67,1,1,Б|,Б|,58,1,5,7,9,8,4,9,4,8,3,8,1,2,2,1,1,Б|,1,Б|
СеТ РЉ 7ТЪЦЏ,78,7,4,3,Б|,53,1,2,Б|,3,13,8,4,6,11,5,18,5,3,1,4,4,1,Б|,Б|
СеТ РЉ 8ТЪЦЏ,98,2,1,1,Б|,90,1,7,24,18,13,7,6,5,6,3,6,4,Б|,1,Б|,1,Б|,Б|,Б|
СеТ РЉ 9ТЪЦЏ,78,5,4,1,Б|,47,2,Б|,2,3,6,7,6,6,3,12,26,12,4,3,4,2,1,Б|,Б|
СеТ РЉ10ТЪЦЏ,24,1,1,Б|,Б|,17,1,Б|,1,1,2,5,2,2,1,2,6,1,1,1,2,Б|,1,Б|,Б|
СеТ РЉ11ТЪЦЏ,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
