ТnЦЉ,РlМы,ФNП≠РlМы,0Б` 4Нќ,5Б` 9,10Б`14,РґОYФNЧо  Рl    Мы,15Б`19Нќ,20Б`24,25Б`29,30Б`34,35Б`39,40Б`44,45Б`49,50Б`54,55Б`59,60Б`64,ШVФNРlМы,65Б`69Нќ,70Б`74,75Б`79,80Б`84,85Б`89,90Б`94,95Б`99,100Нќ  И»Пг
СSОs,"1,814,390","249,649","76,808","81,586","91,255","1,307,049","108,480","140,455","158,224","138,074","128,112","121,675","141,343","155,076","116,446","99,164","257,692","89,357","70,631","46,978","28,254","15,223","5,876","1,250",123
ТЖЙЫЛж,"175,777","20,412","6,411","6,676","7,325","127,936","8,872","13,781","16,004","14,830","13,991","12,534","13,230","14,663","10,831","9,200","27,429","9,073","7,299","5,106","3,108","1,863",780,183,17
СеТ УМ 2ТЪЦЏ,31,Б|,Б|,Б|,Б|,18,1,2,Б|,2,2,3,2,1,2,3,13,8,3,Б|,Б|,2,Б|,Б|,Б|
СеТ УМ 3ТЪЦЏ,68,2,2,Б|,Б|,53,11,14,3,1,4,1,7,10,2,Б|,13,1,3,4,3,2,Б|,Б|,Б|
СеТ УМ 4ТЪЦЏ,76,3,1,Б|,2,54,10,8,5,7,1,5,8,8,1,1,19,7,2,5,3,2,Б|,Б|,Б|
СеТ УМ 5ТЪЦЏ,221,9,1,4,4,156,14,21,32,8,8,10,16,19,15,13,56,9,13,13,12,8,1,Б|,Б|
СеТ УМ 6ТЪЦЏ,16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ УМ 7ТЪЦЏ,122,8,Б|,3,5,90,5,19,7,12,10,7,7,14,6,3,24,5,6,8,4,1,Б|,Б|,Б|
СеТ УМ 8ТЪЦЏ,333,33,13,9,11,271,16,22,49,38,42,28,25,20,12,19,29,7,11,6,3,1,Б|,1,Б|
СеТ УМ 9ТЪЦЏ,253,23,11,9,3,200,3,18,28,23,30,24,16,24,23,11,30,12,7,3,4,3,1,Б|,Б|
СеТ УМ10ТЪЦЏ,366,67,26,21,20,269,15,27,22,35,50,32,37,25,16,10,30,8,11,7,3,1,Б|,Б|,Б|
СеТ УМ11ТЪЦЏ,214,15,5,4,6,146,6,13,4,6,13,8,21,16,28,31,53,31,10,3,6,1,2,Б|,Б|
СеТ УМ12ТЪЦЏ,71,9,1,2,6,44,5,1,6,2,5,4,6,6,5,4,18,5,3,3,5,2,Б|,Б|,Б|
СеТ РЉ 6ТЪЦЏ,17,Б|,Б|,Б|,Б|,14,Б|,Б|,1,2,3,Б|,3,3,1,1,3,1,Б|,Б|,1,1,Б|,Б|,Б|
СеТ РЉ 7ТЪЦЏ,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 8ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 9ТЪЦЏ,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ10ТЪЦЏ,143,4,2,2,Б|,99,4,2,10,7,10,5,8,20,17,16,40,17,8,4,7,4,Б|,Б|,Б|
СеТ РЉ11ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ12ТЪЦЏ,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ13ТЪЦЏ,24,Б|,Б|,Б|,Б|,18,Б|,5,4,4,Б|,1,1,1,1,1,6,2,1,3,Б|,Б|,Б|,Б|,Б|
СеТ РЉ14ТЪЦЏ,114,12,6,3,3,81,6,4,12,14,7,11,6,10,7,4,21,7,3,1,3,3,3,Б|,1
СеТ РЉ15ТЪЦЏ,360,23,10,4,9,276,16,41,40,46,23,19,19,22,31,19,61,17,20,14,2,6,2,Б|,Б|
СеТ РЉ16ТЪЦЏ,375,21,8,9,4,325,22,49,52,56,38,25,21,25,25,12,29,6,8,6,3,5,Б|,1,Б|
СеТ РЉ17ТЪЦЏ,267,13,4,3,6,220,18,46,41,24,18,12,15,14,15,17,34,11,5,12,3,1,2,Б|,Б|
СеТ РЉ18ТЪЦЏ,336,13,7,4,2,265,14,35,37,45,28,20,19,27,26,14,58,19,21,11,1,4,2,Б|,Б|
СеТ РЉ19ТЪЦЏ,206,2,Б|,1,1,131,10,19,23,19,10,16,10,10,4,10,73,9,12,15,13,15,8,1,Б|
СеТ РЉ20ТЪЦЏ,190,9,3,2,4,141,4,17,17,17,8,20,15,21,16,6,40,13,12,10,4,Б|,Б|,1,Б|
СеТ РЉ21ТЪЦЏ,213,15,5,3,7,140,7,13,14,16,16,10,10,23,14,17,58,20,17,11,5,3,2,Б|,Б|
СеТ РЉ22ТЪЦЏ,244,35,12,12,11,169,8,20,21,31,29,12,12,15,11,10,40,11,12,5,4,5,3,Б|,Б|
СеТ РЉ23ТЪЦЏ,491,40,20,14,6,396,19,47,72,69,48,43,22,39,20,17,55,20,11,13,6,3,1,1,Б|
СеТ РЉ24ТЪЦЏ,452,43,11,19,13,336,18,18,35,45,43,32,39,44,34,28,73,28,20,14,6,2,2,1,Б|
СеТ РЉ25ТЪЦЏ,82,7,2,4,1,55,4,5,4,11,2,5,9,4,5,6,20,7,6,2,2,2,1,Б|,Б|
СеТ РЉ26ТЪЦЏ,255,19,3,1,15,206,9,34,28,21,14,22,19,26,23,10,30,10,9,6,2,3,Б|,Б|,Б|
СеТ РЉ27ТЪЦЏ,36,8,3,2,3,20,2,3,Б|,1,1,4,3,2,2,2,8,2,4,1,1,Б|,Б|,Б|,Б|
СеТ РЉ28ТЪЦЏ,221,35,22,9,4,158,6,6,8,39,42,20,10,6,7,14,28,10,9,6,1,1,Б|,1,Б|
Ум 1ПрУМ 2ТЪЦЏ,57,2,2,Б|,Б|,49,Б|,4,3,7,5,7,8,7,4,4,6,3,1,1,1,Б|,Б|,Б|,Б|
Ум 1ПрУМ 3ТЪЦЏ,28,1,Б|,Б|,1,16,2,1,1,2,1,Б|,2,5,2,Б|,11,5,3,2,Б|,1,Б|,Б|,Б|
Ум 1ПрУМ 4ТЪЦЏ,106,9,5,4,Б|,80,1,16,7,13,13,10,7,8,4,1,17,5,5,3,2,1,Б|,1,Б|
Ум 1ПрУМ 5ТЪЦЏ,212,14,8,1,5,180,12,15,16,22,26,25,21,24,14,5,18,2,8,3,4,1,Б|,Б|,Б|
Ум 1ПрУМ 6ТЪЦЏ,49,Б|,Б|,Б|,Б|,37,Б|,7,9,6,3,4,Б|,4,2,2,12,3,5,1,3,Б|,Б|,Б|,Б|
Ум 1ПрУМ 7ТЪЦЏ,344,39,9,17,13,264,17,26,44,30,18,30,24,40,23,12,41,12,12,8,5,1,1,1,1
Ум 1ПрУМ 8ТЪЦЏ,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрУМ 1ТЪЦЏ,53,3,1,1,1,35,4,2,Б|,1,3,5,6,6,5,3,15,5,4,4,1,1,Б|,Б|,Б|
Ум 2ПрУМ 2ТЪЦЏ,133,2,2,Б|,Б|,116,3,31,32,14,4,3,6,14,3,6,15,5,5,3,2,Б|,Б|,Б|,Б|
Ум 2ПрУМ 3ТЪЦЏ,79,3,1,Б|,2,64,9,7,12,9,7,7,6,1,5,1,12,3,5,1,2,1,Б|,Б|,Б|
Ум 2ПрУМ 4ТЪЦЏ,182,14,8,4,2,122,5,7,16,10,9,10,14,25,15,11,46,15,9,9,7,3,2,1,Б|
Ум 2ПрУМ 5ТЪЦЏ,127,11,2,4,5,98,6,10,20,16,11,5,6,9,6,9,18,1,3,6,4,2,2,Б|,Б|
Ум 2ПрУМ 6ТЪЦЏ,644,57,20,14,23,454,34,29,26,32,36,42,72,62,62,59,133,53,33,20,18,7,2,Б|,Б|
Ум 3ПрУМ 1ТЪЦЏ,144,9,4,3,2,99,1,2,11,8,17,7,7,11,12,23,36,11,9,8,5,3,Б|,Б|,Б|
Ум 3ПрУМ 2ТЪЦЏ,307,28,12,9,7,213,12,14,20,26,25,18,20,30,31,17,66,24,17,15,4,5,1,Б|,Б|
Ум 3ПрУМ 3ТЪЦЏ,68,4,3,Б|,1,44,1,9,11,3,4,3,3,5,5,Б|,20,7,4,3,5,1,Б|,Б|,Б|
Ум 3ПрУМ 4ТЪЦЏ,162,8,3,1,4,138,5,30,22,15,13,9,13,7,13,11,16,6,5,1,Б|,2,2,Б|,Б|
Ум 3ПрУМ 6ТЪЦЏ,24,1,1,Б|,Б|,19,1,6,4,1,Б|,Б|,4,2,1,Б|,4,Б|,Б|,4,Б|,Б|,Б|,Б|,Б|
Ум 4ПрУМ 1ТЪЦЏ,22,4,1,Б|,3,10,Б|,1,1,Б|,3,1,1,Б|,1,2,8,1,4,1,1,1,Б|,Б|,Б|
Ум 4ПрУМ 2ТЪЦЏ,190,1,1,Б|,Б|,153,4,27,33,19,9,10,18,13,11,9,36,8,11,7,3,4,3,Б|,Б|
Ум 4ПрУМ 3ТЪЦЏ,145,11,1,3,7,111,9,19,17,11,13,10,12,9,8,3,23,4,9,3,6,1,Б|,Б|,Б|
Ум 4ПрУМ 4ТЪЦЏ,146,2,1,1,Б|,124,3,25,27,16,6,5,18,8,10,6,20,6,7,3,2,2,Б|,Б|,Б|
Ум 4ПрУМ 5ТЪЦЏ,226,12,2,4,6,174,3,28,41,24,21,10,16,11,13,7,40,17,11,5,3,4,Б|,Б|,Б|
Ум 5ПрУМ 1ТЪЦЏ,109,8,1,6,1,81,4,8,8,13,7,9,12,8,8,4,20,9,4,5,2,Б|,Б|,Б|,Б|
Ум 5ПрУМ 2ТЪЦЏ,172,6,2,1,3,120,8,18,20,9,6,9,9,21,11,9,46,14,10,12,4,4,1,1,Б|
Ум 5ПрУМ 3ТЪЦЏ,166,3,1,1,1,134,5,22,32,25,8,5,7,11,16,3,29,9,5,3,5,3,3,1,Б|
Ум 5ПрУМ 4ТЪЦЏ,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
