ТnЦЉ,РlМы,ФNП≠РlМы,0Б` 4Нќ,5Б` 9,10Б`14,РґОYФNЧо  Рl    Мы,15Б`19Нќ,20Б`24,25Б`29,30Б`34,35Б`39,40Б`44,45Б`49,50Б`54,55Б`59,60Б`64,ШVФNРlМы,65Б`69Нќ,70Б`74,75Б`79,80Б`84,85Б`89,90Б`94,95Б`99,100Нќ  И»Пг
СSОs,"1,890,869","228,099","71,463","75,436","81,200","1,289,138","87,987","111,440","124,407","139,935","153,045","135,333","126,824","122,578","146,946","140,643","373,632","112,355","90,287","75,671","52,240","28,166","11,173","3,242",498
ТЖЙЫЛж,"208,279","22,479","7,384","7,471","7,624","147,389","7,981","13,837","16,312","17,041","18,551","17,218","15,221","13,105","14,298","13,825","38,411","10,696","8,940","8,052","5,813","3,157","1,249",427,77
СеТ УМ 2ТЪЦЏ,241,22,16,3,3,179,9,4,15,27,35,20,24,20,14,11,40,13,11,8,5,2,1,Б|,Б|
СеТ УМ 3ТЪЦЏ,171,1,1,Б|,Б|,160,10,31,42,29,17,9,7,3,8,4,10,Б|,Б|,2,4,2,2,Б|,Б|
СеТ УМ 4ТЪЦЏ,91,10,4,5,1,72,7,6,14,12,3,9,Б|,5,9,7,9,2,2,2,1,2,Б|,Б|,Б|
СеТ УМ 5ТЪЦЏ,166,1,Б|,Б|,1,119,2,20,22,21,13,3,4,8,12,14,46,11,12,2,9,6,5,1,Б|
СеТ УМ 6ТЪЦЏ,28,3,Б|,Б|,3,20,Б|,5,4,6,1,1,3,Б|,Б|,Б|,5,Б|,2,2,Б|,Б|,Б|,1,Б|
СеТ УМ 7ТЪЦЏ,259,23,10,12,1,206,6,22,42,44,30,16,10,8,15,13,30,10,5,4,5,6,Б|,Б|,Б|
СеТ УМ 8ТЪЦЏ,390,29,10,10,9,312,13,37,45,36,45,31,31,32,20,22,49,15,13,8,8,5,Б|,Б|,Б|
СеТ УМ 9ТЪЦЏ,285,33,10,11,12,210,10,10,14,29,35,22,31,28,17,14,42,17,10,7,4,3,1,Б|,Б|
СеТ УМ10ТЪЦЏ,398,64,16,20,28,289,13,13,19,35,30,43,40,36,38,22,45,12,9,10,9,4,1,Б|,Б|
СеТ УМ11ТЪЦЏ,193,8,2,3,3,102,5,4,8,12,6,6,15,11,17,18,83,24,31,19,5,2,2,Б|,Б|
СеТ УМ12ТЪЦЏ,41,2,1,Б|,1,27,2,4,2,Б|,4,Б|,2,4,5,4,12,5,2,1,1,1,2,Б|,Б|
СеТ РЉ 6ТЪЦЏ,46,1,1,Б|,Б|,38,Б|,2,4,8,5,5,1,Б|,10,3,7,Б|,3,1,1,1,1,Б|,Б|
СеТ РЉ 7ТЪЦЏ,75,5,3,2,Б|,52,1,2,Б|,5,13,6,4,8,10,3,18,6,2,2,5,2,1,Б|,Б|
СеТ РЉ 8ТЪЦЏ,102,7,3,2,2,90,Б|,17,17,18,15,8,3,4,5,3,5,3,Б|,1,1,Б|,Б|,Б|,Б|
СеТ РЉ 9ТЪЦЏ,77,4,3,1,Б|,52,Б|,1,4,7,5,2,6,6,8,13,21,8,5,2,3,3,Б|,Б|,Б|
СеТ РЉ10ТЪЦЏ,19,Б|,Б|,Б|,Б|,15,1,Б|,2,1,1,5,1,1,1,2,4,Б|,1,1,1,1,Б|,Б|,Б|
СеТ РЉ11ТЪЦЏ,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ12ТЪЦЏ,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ13ТЪЦЏ,100,9,8,1,Б|,85,1,8,14,24,15,6,6,9,Б|,2,6,1,Б|,1,2,2,Б|,Б|,Б|
СеТ РЉ14ТЪЦЏ,135,4,Б|,3,1,119,6,22,30,16,12,8,3,6,7,9,12,4,3,3,Б|,Б|,1,Б|,1
СеТ РЉ15ТЪЦЏ,425,16,9,3,4,327,14,66,55,49,38,27,19,16,26,17,82,25,15,16,18,4,2,2,Б|
СеТ РЉ16ТЪЦЏ,329,13,5,4,4,245,13,36,32,19,29,27,27,18,24,20,71,29,15,9,7,6,3,2,Б|
СеТ РЉ17ТЪЦЏ,357,13,10,1,2,298,9,45,66,49,39,25,22,17,15,11,46,9,14,8,8,5,1,1,Б|
