ТnЦЉ,РlМы,ФNП≠РlМы,0Б` 4Нќ,5Б` 9,10Б`14,РґОYФNЧо  Рl    Мы,15Б`19Нќ,20Б`24,25Б`29,30Б`34,35Б`39,40Б`44,45Б`49,50Б`54,55Б`59,60Б`64,ШVФNРlМы,65Б`69Нќ,70Б`74,75Б`79,80Б`84,85Б`89,90Б`94,95Б`99,100Нќ  И»Пг
СSОs,"1,795,914","260,065","79,603","82,965","97,497","1,302,741","112,587","151,497","155,703","133,919","124,418","124,457","158,953","132,246","111,048","97,913","233,108","84,419","63,480","40,760","25,124","13,538","4,731",960,96
ТЖЙЫЛж,"174,124","21,102","6,612","6,711","7,779","127,750","9,244","14,609","16,437","14,502","13,278","12,395","14,722","12,644","10,360","9,559","25,272","8,643","6,711","4,507","2,835","1,730",679,152,15
СеТ УМ 2ТЪЦЏ,35,1,Б|,Б|,1,25,2,Б|,1,2,3,3,3,Б|,5,6,9,5,Б|,Б|,2,2,Б|,Б|,Б|
СеТ УМ 3ТЪЦЏ,71,3,2,Б|,1,55,14,13,2,3,Б|,3,12,6,2,Б|,13,1,4,4,3,1,Б|,Б|,Б|
СеТ УМ 4ТЪЦЏ,76,2,Б|,Б|,2,60,18,8,4,1,2,6,10,6,Б|,5,14,6,3,1,3,1,Б|,Б|,Б|
СеТ УМ 5ТЪЦЏ,226,9,2,2,5,155,10,28,27,12,5,14,17,17,16,9,62,7,19,19,8,7,1,1,Б|
СеТ УМ 6ТЪЦЏ,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ УМ 7ТЪЦЏ,133,12,3,4,5,97,13,16,6,13,13,6,9,10,8,3,24,3,13,5,2,1,Б|,Б|,Б|
СеТ УМ 8ТЪЦЏ,346,42,13,11,18,273,15,30,48,41,38,33,23,12,18,15,31,10,12,4,3,Б|,1,1,Б|
СеТ УМ 9ТЪЦЏ,260,22,13,8,1,212,6,25,33,25,29,21,22,19,21,11,26,8,6,4,6,2,Б|,Б|,Б|
СеТ УМ10ТЪЦЏ,365,68,38,16,14,269,17,28,29,47,42,36,27,20,11,12,28,7,12,4,3,1,Б|,1,Б|
СеТ УМ11ТЪЦЏ,218,20,9,5,6,161,6,16,5,10,12,15,20,20,24,33,37,24,7,2,3,1,Б|,Б|,Б|
СеТ УМ12ТЪЦЏ,73,11,1,3,7,48,3,5,8,1,4,5,6,4,5,7,14,5,1,6,2,Б|,Б|,Б|,Б|
СеТ РЉ 1ТЪЦЏ,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 6ТЪЦЏ,17,Б|,Б|,Б|,Б|,13,Б|,Б|,1,3,1,1,3,1,1,2,4,1,Б|,1,2,Б|,Б|,Б|,Б|
СеТ РЉ 7ТЪЦЏ,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 8ТЪЦЏ,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 9ТЪЦЏ,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ10ТЪЦЏ,138,4,3,1,Б|,98,4,4,6,8,7,8,16,14,14,17,36,14,4,9,7,1,Б|,1,Б|
СеТ РЉ11ТЪЦЏ,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ12ТЪЦЏ,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ13ТЪЦЏ,15,Б|,Б|,Б|,Б|,8,Б|,1,2,1,1,1,Б|,1,1,Б|,7,2,2,2,Б|,Б|,1,Б|,Б|
СеТ РЉ14ТЪЦЏ,110,7,3,1,3,85,4,9,10,12,11,8,8,13,3,7,18,4,4,1,3,3,2,Б|,1
СеТ РЉ15ТЪЦЏ,366,19,9,2,8,289,17,47,61,35,18,18,22,24,31,16,58,15,19,12,4,7,1,Б|,Б|
СеТ РЉ16ТЪЦЏ,334,26,10,9,7,285,25,42,57,50,30,20,22,14,14,11,23,6,8,2,6,1,Б|,Б|,Б|
СеТ РЉ17ТЪЦЏ,262,12,3,4,5,216,24,51,35,16,17,13,15,17,10,18,34,9,10,5,6,3,1,Б|,Б|
СеТ РЉ18ТЪЦЏ,341,19,10,7,2,273,16,36,45,46,31,18,21,22,19,19,49,22,12,8,2,3,2,Б|,Б|
СеТ РЉ19ТЪЦЏ,207,4,1,2,1,131,9,27,18,20,13,8,9,10,8,9,72,9,10,16,19,12,6,Б|,Б|
СеТ РЉ20ТЪЦЏ,162,9,2,3,4,119,5,17,20,9,7,19,7,18,7,10,34,13,14,3,2,Б|,2,Б|,Б|
СеТ РЉ21ТЪЦЏ,220,18,3,5,10,150,9,15,21,17,11,10,13,19,15,20,52,21,15,8,4,3,1,Б|,Б|
СеТ РЉ22ТЪЦЏ,189,21,6,8,7,134,6,23,18,20,15,12,16,10,8,6,34,8,12,5,3,5,1,Б|,Б|
СеТ РЉ23ТЪЦЏ,490,37,17,9,11,399,12,50,78,76,45,41,29,28,23,17,54,21,16,7,7,1,2,Б|,Б|
СеТ РЉ24ТЪЦЏ,463,53,15,17,21,343,11,24,43,37,34,48,34,46,33,33,67,20,22,11,6,6,2,Б|,Б|
СеТ РЉ25ТЪЦЏ,82,8,2,4,2,54,5,2,7,5,4,6,10,2,6,7,20,5,5,4,3,2,1,Б|,Б|
СеТ РЉ26ТЪЦЏ,275,24,Б|,8,16,221,6,41,37,22,18,23,23,13,29,9,30,16,7,4,3,Б|,Б|,Б|,Б|
СеТ РЉ27ТЪЦЏ,55,11,7,2,2,36,Б|,2,5,16,2,3,1,2,2,3,8,3,3,Б|,1,1,Б|,Б|,Б|
СеТ РЉ28ТЪЦЏ,233,43,29,6,8,163,3,9,26,51,29,13,5,6,7,14,27,14,5,5,Б|,2,1,Б|,Б|
Ум 1ПрУМ 2ТЪЦЏ,58,2,2,Б|,Б|,50,1,4,4,8,4,4,11,5,7,2,6,3,1,2,Б|,Б|,Б|,Б|,Б|
Ум 1ПрУМ 3ТЪЦЏ,28,1,Б|,1,Б|,16,2,2,1,1,Б|,Б|,3,4,1,2,11,5,2,2,2,Б|,Б|,Б|,Б|
Ум 1ПрУМ 4ТЪЦЏ,96,5,3,2,Б|,69,5,5,7,12,14,7,11,5,3,Б|,22,8,6,3,3,1,1,Б|,Б|
Ум 1ПрУМ 5ТЪЦЏ,40,5,1,1,3,25,1,5,1,2,2,1,3,3,4,3,10,4,4,1,1,Б|,Б|,Б|,Б|
Ум 1ПрУМ 6ТЪЦЏ,38,Б|,Б|,Б|,Б|,29,Б|,2,6,5,3,2,1,4,3,3,9,1,4,2,2,Б|,Б|,Б|,Б|
Ум 1ПрУМ 7ТЪЦЏ,305,32,9,13,10,237,18,27,34,21,19,31,28,29,22,8,36,13,9,9,1,1,2,1,Б|
Ум 1ПрУМ 8ТЪЦЏ,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрУМ 1ТЪЦЏ,52,4,2,1,1,34,3,2,Б|,2,2,6,4,7,4,4,14,5,4,4,1,Б|,Б|,Б|,Б|
Ум 2ПрУМ 2ТЪЦЏ,156,2,2,Б|,Б|,140,9,49,24,19,3,5,5,14,6,6,14,8,3,2,1,Б|,Б|,Б|,Б|
Ум 2ПрУМ 3ТЪЦЏ,77,5,1,Б|,4,60,4,7,13,13,4,5,4,2,4,4,12,3,5,1,2,1,Б|,Б|,Б|
Ум 2ПрУМ 4ТЪЦЏ,155,9,2,2,5,106,8,5,8,4,5,9,24,18,12,13,40,15,6,9,6,4,Б|,Б|,Б|
Ум 2ПрУМ 5ТЪЦЏ,115,9,3,3,3,85,6,9,14,14,7,6,10,7,8,4,21,3,4,7,2,5,Б|,Б|,Б|
Ум 2ПрУМ 6ТЪЦЏ,638,60,14,12,34,469,42,25,33,18,41,56,72,52,72,58,109,40,23,24,15,3,3,Б|,1
Ум 3ПрУМ 1ТЪЦЏ,164,10,4,3,3,119,1,3,14,7,15,12,10,10,21,26,35,12,8,8,4,3,Б|,Б|,Б|
Ум 3ПрУМ 2ТЪЦЏ,318,32,10,9,13,224,14,20,26,20,20,23,28,28,21,24,62,22,20,11,4,4,1,Б|,Б|
Ум 3ПрУМ 3ТЪЦЏ,74,2,1,1,Б|,55,1,10,17,2,3,6,3,5,2,6,17,3,4,3,4,3,Б|,Б|,Б|
Ум 3ПрУМ 4ТЪЦЏ,160,3,Б|,1,2,140,1,29,26,18,6,13,12,9,17,9,17,5,5,2,1,3,1,Б|,Б|
Ум 3ПрУМ 6ТЪЦЏ,26,2,2,Б|,Б|,20,1,7,3,1,1,1,3,2,1,Б|,4,Б|,2,2,Б|,Б|,Б|,Б|,Б|
Ум 4ПрУМ 1ТЪЦЏ,16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 4ПрУМ 2ТЪЦЏ,209,2,1,1,Б|,173,9,31,32,22,11,11,24,12,14,7,34,7,11,5,4,6,1,Б|,Б|
Ум 4ПрУМ 3ТЪЦЏ,154,15,1,5,9,122,9,17,17,17,12,8,19,8,10,5,17,4,8,1,3,1,Б|,Б|,Б|
Ум 4ПрУМ 4ТЪЦЏ,143,7,4,2,1,117,5,30,24,11,7,11,10,11,7,1,19,8,5,4,Б|,2,Б|,Б|,Б|
Ум 4ПрУМ 5ТЪЦЏ,246,14,5,3,6,195,1,42,47,33,13,10,15,14,9,11,37,11,10,5,7,3,1,Б|,Б|
Ум 5ПрУМ 1ТЪЦЏ,106,9,4,2,3,77,1,10,10,9,8,9,11,9,5,5,20,7,8,3,1,Б|,1,Б|,Б|
Ум 5ПрУМ 2ТЪЦЏ,165,8,2,1,5,109,8,9,9,9,7,9,17,17,11,13,48,12,14,12,3,3,3,1,Б|
Ум 5ПрУМ 3ТЪЦЏ,174,4,1,1,2,134,4,18,43,11,11,6,12,12,11,6,36,12,8,5,5,4,2,Б|,Б|
Ум 5ПрУМ 4ТЪЦЏ,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 5ПрУМ 5ТЪЦЏ,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 6ПрУМ 1ТЪЦЏ,56,4,3,1,Б|,49,1,7,12,7,5,5,6,3,2,1,3,2,Б|,1,Б|,Б|,Б|,Б|,Б|
Ум 6ПрУМ 2ТЪЦЏ,79,6,3,2,1,56,2,1,7,6,4,9,9,5,4,9,17,3,6,2,5,1,Б|,Б|,Б|
Ум 6ПрУМ 3ТЪЦЏ,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 7ПрУМ 2ТЪЦЏ,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 1ТЪЦЏ,19,Б|,Б|,Б|,Б|,15,Б|,Б|,2,2,1,1,4,Б|,4,1,4,2,2,Б|,Б|,Б|,Б|,Б|,Б|
Ум 1ПрРЉ 4ТЪЦЏ,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 5ТЪЦЏ,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 6ТЪЦЏ,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 7ТЪЦЏ,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 8ТЪЦЏ,71,8,3,2,3,53,2,1,4,8,10,9,4,7,4,4,10,3,1,1,3,1,1,Б|,Б|
Ум 1ПрРЉ 9ТЪЦЏ,78,4,3,1,Б|,63,4,12,5,7,3,5,6,5,9,7,11,5,Б|,3,2,Б|,1,Б|,Б|
Ум 1ПрРЉ10ТЪЦЏ,16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ11ТЪЦЏ,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ12ТЪЦЏ,102,9,1,7,1,77,5,8,12,15,11,10,5,6,4,1,16,5,2,6,1,1,1,Б|,Б|
Ум 1ПрРЉ13ТЪЦЏ,49,1,Б|,1,Б|,35,2,4,4,2,3,1,6,8,2,3,13,3,6,4,Б|,Б|,Б|,Б|,Б|
Ум 1ПрРЉ14ТЪЦЏ,105,6,2,3,1,86,4,27,17,11,9,6,4,3,1,4,13,3,2,5,1,Б|,2,Б|,Б|
Ум 1ПрРЉ15ТЪЦЏ,114,8,5,1,2,93,6,16,21,7,8,9,6,8,4,8,13,5,2,2,1,2,1,Б|,Б|
Ум 1ПрРЉ16ТЪЦЏ,57,1,Б|,Б|,1,47,6,5,11,1,5,4,5,5,4,1,9,Б|,6,Б|,2,1,Б|,Б|,Б|
Ум 1ПрРЉ17ТЪЦЏ,151,Б|,Б|,Б|,Б|,128,5,19,22,12,14,5,9,16,19,7,23,8,6,4,2,1,2,Б|,Б|
Ум 1ПрРЉ18ТЪЦЏ,124,13,5,6,2,97,6,11,15,13,12,11,9,5,6,9,14,6,6,Б|,1,1,Б|,Б|,Б|
Ум 1ПрРЉ19ТЪЦЏ,211,13,9,Б|,4,169,6,24,37,28,14,14,10,14,14,8,29,2,11,8,3,3,2,Б|,Б|
Ум 1ПрРЉ20ТЪЦЏ,106,11,4,2,5,84,7,9,8,12,9,9,13,7,4,6,11,3,4,2,1,1,Б|,Б|,Б|
Ум 1ПрРЉ21ТЪЦЏ,173,17,10,5,2,130,9,17,14,24,15,14,15,8,6,8,26,8,9,3,3,2,1,Б|,Б|
Ум 1ПрРЉ22ТЪЦЏ,94,4,2,Б|,2,81,5,15,14,10,9,9,4,7,5,3,9,3,2,4,Б|,Б|,Б|,Б|,Б|
Ум 1ПрРЉ23ТЪЦЏ,356,48,17,15,16,264,18,22,22,34,35,31,34,25,25,18,44,23,13,3,2,3,Б|,Б|,Б|
Ум 1ПрРЉ24ТЪЦЏ,141,22,2,8,12,112,3,11,15,21,23,12,8,8,7,4,7,3,2,1,Б|,Б|,Б|,1,Б|
Ум 1ПрРЉ25ТЪЦЏ,253,41,17,14,10,185,10,23,20,28,27,18,17,17,19,6,27,11,4,3,5,2,2,Б|,Б|
Ум 1ПрРЉ26ТЪЦЏ,62,11,5,2,4,42,2,Б|,2,4,8,8,3,5,6,4,9,1,2,Б|,3,1,2,Б|,Б|
Ум 1ПрРЉ27ТЪЦЏ,187,18,3,7,8,140,15,6,11,7,10,11,21,23,19,17,29,10,8,7,Б|,2,2,Б|,Б|
Ум 1ПрРЉ28ТЪЦЏ,71,4,3,1,Б|,53,3,6,3,4,4,4,7,9,4,9,14,5,4,2,1,1,1,Б|,Б|
Ум 2ПрРЉ 1ТЪЦЏ,21,Б|,Б|,Б|,Б|,14,Б|,Б|,1,3,1,1,Б|,Б|,2,6,7,1,2,1,1,2,Б|,Б|,Б|
Ум 2ПрРЉ 2ТЪЦЏ,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрРЉ 3ТЪЦЏ,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрРЉ 4ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрРЉ 5ТЪЦЏ,58,Б|,Б|,Б|,Б|,38,2,5,4,4,2,2,6,3,5,5,20,1,5,5,5,4,Б|,Б|,Б|
Ум 2ПрРЉ 6ТЪЦЏ,44,Б|,Б|,Б|,Б|,33,2,3,2,2,1,5,5,6,3,4,11,3,2,4,Б|,2,Б|,Б|,Б|
