ТnЦЉ,РlМы,ФNП≠РlМы,0Б` 4Нќ,5Б` 9,10Б`14,РґОYФNЧо  Рl    Мы,15Б`19Нќ,20Б`24,25Б`29,30Б`34,35Б`39,40Б`44,45Б`49,50Б`54,55Б`59,60Б`64,ШVФNРlМы,65Б`69Нќ,70Б`74,75Б`79,80Б`84,85Б`89,90Б`94,95Б`99,100Нќ  И»Пг
СSОs,"1,867,466","235,427","73,617","77,800","84,010","1,313,955","96,083","125,737","138,534","155,619","137,046","128,789","122,587","140,425","153,462","115,673","318,084","96,371","84,867","64,385","40,132","20,792","8,860","2,379",298
ТЖЙЫЛж,"194,146","21,524","7,023","7,162","7,339","139,617","8,384","14,143","15,898","17,231","16,225","15,241","13,268","13,425","14,878","10,924","33,005","9,232","8,817","6,833","4,402","2,281","1,070",321,49
СеТ УМ 2ТЪЦЏ,32,3,2,Б|,1,16,1,Б|,4,Б|,Б|,3,3,2,2,1,13,3,8,1,Б|,1,Б|,Б|,Б|
СеТ УМ 3ТЪЦЏ,137,1,1,Б|,Б|,123,7,21,40,21,10,6,4,10,4,Б|,13,1,2,3,4,2,1,Б|,Б|
СеТ УМ 4ТЪЦЏ,88,4,3,1,Б|,64,6,15,13,5,5,Б|,2,11,4,3,20,2,6,2,4,3,3,Б|,Б|
СеТ УМ 5ТЪЦЏ,179,2,Б|,Б|,2,122,4,18,21,17,3,5,7,17,17,13,55,15,7,9,10,9,5,Б|,Б|
СеТ УМ 6ТЪЦЏ,27,3,Б|,3,Б|,19,Б|,7,4,2,3,3,Б|,Б|,Б|,Б|,5,2,2,Б|,Б|,Б|,Б|,1,Б|
СеТ УМ 7ТЪЦЏ,231,25,12,4,9,177,5,21,31,26,26,16,15,13,16,8,29,9,3,7,8,1,1,Б|,Б|
СеТ УМ 8ТЪЦЏ,367,32,10,12,10,291,11,35,41,43,37,34,26,23,24,17,44,16,8,9,6,4,1,Б|,Б|
СеТ УМ 9ТЪЦЏ,267,32,10,9,13,206,3,4,28,27,29,34,26,15,20,20,29,8,9,4,3,3,2,Б|,Б|
СеТ УМ10ТЪЦЏ,379,66,21,25,20,277,20,16,22,28,34,45,38,39,20,15,36,8,10,11,5,2,Б|,Б|,Б|
СеТ УМ11ТЪЦЏ,186,8,1,3,4,106,4,4,8,4,4,14,8,17,17,26,72,30,27,9,2,2,1,1,Б|
СеТ УМ12ТЪЦЏ,59,4,1,1,2,39,6,2,Б|,5,2,3,4,6,6,5,16,4,6,2,2,2,Б|,Б|,Б|
СеТ РЉ 1ТЪЦЏ,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 6ТЪЦЏ,18,1,1,Б|,Б|,13,Б|,1,1,Б|,1,4,Б|,3,2,1,4,1,1,Б|,1,Б|,1,Б|,Б|
СеТ РЉ 8ТЪЦЏ,25,Б|,Б|,Б|,Б|,23,1,1,2,3,5,2,2,4,1,2,2,1,1,Б|,Б|,Б|,Б|,Б|,Б|
СеТ РЉ 9ТЪЦЏ,68,1,1,Б|,Б|,55,Б|,2,5,6,4,6,4,7,13,8,12,4,2,4,2,Б|,Б|,Б|,Б|
СеТ РЉ10ТЪЦЏ,159,6,1,2,3,84,2,4,1,10,13,9,7,10,12,16,69,21,21,10,8,5,4,Б|,Б|
СеТ РЉ11ТЪЦЏ,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ12ТЪЦЏ,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
