ТnЦЉ,РlМы,ФNП≠РlМы,0Б` 4Нќ,5Б` 9,10Б`14,РґОYФNЧо  Рl    Мы,15Б`19Нќ,20Б`24,25Б`29,30Б`34,35Б`39,40Б`44,45Б`49,50Б`54,55Б`59,60Б`64,ШVФNРlМы,65Б`69Нќ,70Б`74,75Б`79,80Б`84,85Б`89,90Б`94,95Б`99,100Нќ  И»Пг
СSОs,"1,875,278","233,266","72,690","77,256","83,320","1,310,104","93,703","123,196","134,238","153,823","144,974","126,569","122,526","134,202","161,600","115,273","331,908","99,639","86,661","67,900","43,054","22,158","9,562","2,600",334
ТЖЙЫЛж,"198,151","21,718","7,066","7,258","7,394","142,119","8,308","14,204","16,136","17,417","17,205","15,281","13,661","13,272","15,659","10,976","34,314","9,506","9,018","7,170","4,723","2,376","1,126",337,58
СеТ УМ 2ТЪЦЏ,33,3,2,Б|,1,18,1,Б|,4,Б|,Б|,3,3,3,2,2,12,3,8,1,Б|,Б|,Б|,Б|,Б|
СеТ УМ 3ТЪЦЏ,135,Б|,Б|,Б|,Б|,121,4,19,39,25,10,6,5,6,6,1,14,2,2,3,4,2,1,Б|,Б|
СеТ УМ 4ТЪЦЏ,82,3,2,1,Б|,56,6,9,14,5,3,Б|,2,10,4,3,23,2,8,3,5,2,3,Б|,Б|
СеТ УМ 5ТЪЦЏ,174,1,Б|,Б|,1,124,4,19,19,16,5,4,8,15,19,15,49,15,5,7,9,8,4,1,Б|
СеТ УМ 6ТЪЦЏ,27,3,Б|,2,1,19,1,6,4,3,2,3,Б|,Б|,Б|,Б|,5,2,2,Б|,Б|,Б|,Б|,1,Б|
СеТ УМ 7ТЪЦЏ,232,25,13,4,8,181,6,18,33,29,25,16,17,9,21,7,26,9,1,3,9,2,2,Б|,Б|
СеТ УМ 8ТЪЦЏ,347,26,4,11,11,279,8,28,40,38,39,30,25,26,29,16,42,15,9,9,5,4,Б|,Б|,Б|
СеТ УМ 9ТЪЦЏ,273,29,8,10,11,207,6,11,23,25,31,29,30,17,22,13,37,13,13,5,2,3,1,Б|,Б|
СеТ УМ10ТЪЦЏ,372,60,15,26,19,276,17,15,23,26,35,38,43,35,24,20,36,7,8,9,8,2,1,1,Б|
СеТ УМ11ТЪЦЏ,188,8,1,1,6,105,3,6,11,6,5,10,10,13,18,23,75,26,33,12,1,1,1,1,Б|
СеТ УМ12ТЪЦЏ,53,2,1,1,Б|,36,6,3,Б|,5,3,2,3,6,5,3,15,4,4,3,1,2,1,Б|,Б|
СеТ РЉ 4ТЪЦЏ,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 6ТЪЦЏ,14,Б|,Б|,Б|,Б|,10,Б|,1,1,Б|,Б|,2,Б|,3,2,1,4,Б|,2,Б|,Б|,1,1,Б|,Б|
СеТ РЉ 8ТЪЦЏ,29,Б|,Б|,Б|,Б|,27,Б|,3,4,3,2,4,3,5,1,2,2,1,1,Б|,Б|,Б|,Б|,Б|,Б|
СеТ РЉ 9ТЪЦЏ,67,2,1,Б|,1,52,Б|,4,Б|,8,4,6,1,6,14,9,13,3,4,3,2,1,Б|,Б|,Б|
