ТnЦЉ,РlМы,ФNП≠РlМы,0Б` 4Нќ,5Б` 9,10Б`14,РґОYФNЧо  Рl    Мы,15Б`19Нќ,20Б`24,25Б`29,30Б`34,35Б`39,40Б`44,45Б`49,50Б`54,55Б`59,60Б`64,ШVФNРlМы,65Б`69Нќ,70Б`74,75Б`79,80Б`84,85Б`89,90Б`94,95Б`99,100Нќ  И»Пг
СSОs,"1,804,258","254,567","78,230","82,164","94,173","1,304,822","110,613","145,296","157,320","136,377","125,578","122,810","149,592","143,171","116,477","97,588","244,869","86,882","67,045","44,135","26,094","14,266","5,264","1,072",111
ТЖЙЫЛж,"174,892","20,798","6,591","6,672","7,535","127,769","8,994","14,042","16,232","14,760","13,607","12,439","13,897","13,642","10,830","9,326","26,325","8,823","7,057","4,827","2,889","1,810",742,158,19
СеТ УМ 2ТЪЦЏ,33,1,Б|,Б|,1,25,1,1,Б|,3,1,5,2,1,5,6,7,3,2,Б|,Б|,2,Б|,Б|,Б|
СеТ УМ 3ТЪЦЏ,70,2,2,Б|,Б|,55,17,12,1,1,1,3,8,10,2,Б|,13,1,4,3,4,1,Б|,Б|,Б|
СеТ УМ 4ТЪЦЏ,72,3,Б|,Б|,3,55,10,9,7,1,2,6,9,8,Б|,3,14,6,1,3,3,1,Б|,Б|,Б|
СеТ УМ 5ТЪЦЏ,213,10,3,2,5,147,10,25,29,10,5,12,16,17,12,11,56,9,15,15,10,6,1,Б|,Б|
СеТ УМ 6ТЪЦЏ,16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ УМ 7ТЪЦЏ,125,8,1,3,4,92,7,18,7,10,12,8,11,9,6,4,25,4,9,8,3,1,Б|,Б|,Б|
СеТ УМ 8ТЪЦЏ,343,41,14,10,17,274,15,32,42,44,36,35,22,17,12,19,28,9,11,4,3,Б|,1,Б|,Б|
СеТ УМ 9ТЪЦЏ,252,22,10,10,2,203,5,19,35,17,29,26,19,19,20,14,27,9,6,3,6,2,1,Б|,Б|
СеТ УМ10ТЪЦЏ,362,65,32,12,21,265,16,29,28,35,47,32,31,22,15,10,32,8,12,7,3,2,Б|,Б|,Б|
СеТ УМ11ТЪЦЏ,212,16,5,6,5,154,7,14,5,7,12,14,20,18,25,32,42,26,9,2,3,1,1,Б|,Б|
СеТ УМ12ТЪЦЏ,68,8,1,1,6,45,4,1,8,2,4,2,8,5,5,6,15,6,1,3,4,1,Б|,Б|,Б|
СеТ РЉ 4ТЪЦЏ,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 6ТЪЦЏ,13,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 7ТЪЦЏ,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 8ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 9ТЪЦЏ,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ10ТЪЦЏ,143,3,2,1,Б|,97,4,3,9,9,8,6,12,17,16,13,43,19,7,9,5,2,Б|,1,Б|
СеТ РЉ11ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ12ТЪЦЏ,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ13ТЪЦЏ,18,Б|,Б|,Б|,Б|,11,Б|,1,5,Б|,Б|,2,Б|,1,2,Б|,7,2,2,2,Б|,Б|,Б|,1,Б|
СеТ РЉ14ТЪЦЏ,119,10,1,5,4,87,3,10,9,10,13,10,9,12,6,5,22,8,3,1,4,2,3,Б|,1
СеТ РЉ15ТЪЦЏ,360,20,10,2,8,279,16,39,47,48,16,16,25,22,36,14,61,16,21,12,3,7,2,Б|,Б|
СеТ РЉ16ТЪЦЏ,312,20,9,7,4,268,17,46,50,42,30,20,18,16,20,9,24,6,6,5,4,3,Б|,Б|,Б|
СеТ РЉ17ТЪЦЏ,255,13,6,3,4,206,16,47,38,15,19,13,13,16,14,15,36,11,6,11,4,1,3,Б|,Б|
СеТ РЉ18ТЪЦЏ,352,21,12,6,3,280,15,42,47,48,29,15,22,23,21,18,51,17,19,8,Б|,5,2,Б|,Б|
СеТ РЉ19ТЪЦЏ,206,3,1,1,1,130,10,26,16,17,14,10,9,11,6,11,73,10,9,18,13,17,6,Б|,Б|
СеТ РЉ20ТЪЦЏ,184,10,1,2,7,135,4,10,24,12,11,23,11,24,10,6,39,15,12,7,3,Б|,1,1,Б|
СеТ РЉ21ТЪЦЏ,220,19,3,5,11,148,6,17,14,14,21,7,12,23,15,19,53,20,14,10,5,3,1,Б|,Б|
СеТ РЉ22ТЪЦЏ,191,22,7,8,7,134,5,22,20,22,14,6,16,14,7,8,35,9,13,4,3,5,1,Б|,Б|
СеТ РЉ23ТЪЦЏ,512,43,19,14,10,418,14,59,80,68,51,40,33,34,24,15,51,18,11,12,6,2,1,1,Б|
СеТ РЉ24ТЪЦЏ,468,52,16,19,17,344,15,21,40,38,34,43,41,45,36,31,72,24,22,14,4,4,4,Б|,Б|
СеТ РЉ25ТЪЦЏ,81,8,2,3,3,53,4,2,6,6,2,6,8,6,5,8,20,6,5,3,3,2,1,Б|,Б|
СеТ РЉ26ТЪЦЏ,255,19,2,3,14,207,7,39,32,23,14,20,21,18,23,10,29,9,11,3,5,Б|,Б|,1,Б|
СеТ РЉ27ТЪЦЏ,29,7,2,3,2,15,Б|,2,Б|,1,1,4,Б|,2,2,3,7,2,4,Б|,1,Б|,Б|,Б|,Б|
СеТ РЉ28ТЪЦЏ,217,31,15,10,6,158,3,9,12,45,36,20,7,5,7,14,28,13,8,5,Б|,1,Б|,1,Б|
Ум 1ПрУМ 2ТЪЦЏ,56,2,2,Б|,Б|,48,2,3,3,7,4,7,6,9,4,3,6,3,1,1,1,Б|,Б|,Б|,Б|
Ум 1ПрУМ 3ТЪЦЏ,29,1,Б|,Б|,1,17,2,2,2,1,1,Б|,2,5,2,Б|,11,5,3,2,1,Б|,Б|,Б|,Б|
Ум 1ПрУМ 4ТЪЦЏ,93,7,3,4,Б|,68,2,6,6,11,14,8,11,6,3,1,18,6,4,4,2,1,Б|,1,Б|
Ум 1ПрУМ 5ТЪЦЏ,30,4,1,Б|,3,18,2,2,1,1,1,1,2,3,3,2,8,3,3,1,1,Б|,Б|,Б|,Б|
Ум 1ПрУМ 6ТЪЦЏ,44,Б|,Б|,Б|,Б|,34,Б|,6,10,3,2,3,Б|,4,2,4,10,1,5,2,2,Б|,Б|,Б|,Б|
Ум 1ПрУМ 7ТЪЦЏ,336,35,12,14,9,261,20,31,36,26,19,28,26,36,26,13,40,14,10,9,3,1,1,1,1
Ум 1ПрУМ 8ТЪЦЏ,11,Б|,Б|,Б|,Б|,9,Б|,2,4,Б|,1,Б|,Б|,1,Б|,1,2,1,Б|,1,Б|,Б|,Б|,Б|,Б|
Ум 2ПрУМ 1ТЪЦЏ,57,3,1,1,1,40,4,3,Б|,2,5,3,6,7,5,5,14,5,3,4,2,Б|,Б|,Б|,Б|
Ум 2ПрУМ 2ТЪЦЏ,144,1,1,Б|,Б|,130,5,41,29,18,3,3,6,14,5,6,13,5,3,4,1,Б|,Б|,Б|,Б|
Ум 2ПрУМ 3ТЪЦЏ,79,5,1,Б|,4,63,3,10,12,11,4,7,5,2,6,3,11,2,6,Б|,2,1,Б|,Б|,Б|
Ум 2ПрУМ 4ТЪЦЏ,182,16,7,5,4,126,9,6,14,10,5,11,21,21,14,15,40,14,7,10,5,3,1,Б|,Б|
Ум 2ПрУМ 5ТЪЦЏ,119,12,4,4,4,87,6,10,12,15,10,4,8,7,8,7,20,1,5,6,3,4,1,Б|,Б|
Ум 2ПрУМ 6ТЪЦЏ,629,54,14,14,26,459,39,30,31,25,36,50,68,60,65,55,116,44,24,24,14,5,3,1,1
