ТnЦЉ,РlМы,ФNП≠РlМы,0Б` 4Нќ,5Б` 9,10Б`14,РґОYФNЧо  Рl    Мы,15Б`19Нќ,20Б`24,25Б`29,30Б`34,35Б`39,40Б`44,45Б`49,50Б`54,55Б`59,60Б`64,ШVФNРlМы,65Б`69Нќ,70Б`74,75Б`79,80Б`84,85Б`89,90Б`94,95Б`99,100Нќ  И»Пг
СSОs,"1,825,621","245,929","76,069","80,865","88,995","1,309,574","107,066","136,063","156,403","145,860","125,742","121,503","135,108","163,238","116,106","102,485","270,118","91,183","74,295","50,371","29,817","16,347","6,527","1,419",159
ТЖЙЫЛж,"178,853","20,527","6,546","6,710","7,271","129,753","8,886","13,622","16,052","15,775","13,842","12,849","12,956","15,396","10,885","9,490","28,573","9,221","7,683","5,456","3,212","1,914",859,206,22
СеТ УМ 2ТЪЦЏ,32,Б|,Б|,Б|,Б|,19,1,3,Б|,2,2,3,2,1,1,4,13,8,2,Б|,1,2,Б|,Б|,Б|
СеТ УМ 3ТЪЦЏ,56,2,1,1,Б|,41,7,8,1,Б|,5,Б|,5,11,3,1,13,1,3,4,3,1,1,Б|,Б|
СеТ УМ 4ТЪЦЏ,83,2,Б|,Б|,2,60,13,9,8,5,2,2,11,6,2,2,21,7,3,4,3,4,Б|,Б|,Б|
СеТ УМ 5ТЪЦЏ,219,8,2,2,4,157,13,15,31,16,4,9,16,22,18,13,54,7,12,14,13,6,1,1,Б|
СеТ УМ 6ТЪЦЏ,21,3,2,1,Б|,16,1,4,3,3,3,Б|,Б|,Б|,Б|,2,2,2,Б|,Б|,Б|,Б|,Б|,Б|,Б|
СеТ УМ 7ТЪЦЏ,122,10,2,2,6,89,3,16,9,11,9,10,5,15,6,5,23,2,4,10,5,2,Б|,Б|,Б|
СеТ УМ 8ТЪЦЏ,323,32,13,12,7,255,13,24,37,44,34,24,24,28,10,17,36,12,11,6,4,2,Б|,1,Б|
СеТ УМ 9ТЪЦЏ,248,20,10,6,4,198,2,16,31,27,23,24,20,23,15,17,30,12,8,3,4,3,Б|,Б|,Б|
СеТ УМ10ТЪЦЏ,362,64,24,19,21,265,18,25,28,30,39,36,36,18,25,10,33,11,8,9,3,2,Б|,Б|,Б|
СеТ УМ11ТЪЦЏ,214,14,3,6,5,139,5,12,6,6,12,7,18,18,25,30,61,36,13,3,4,2,3,Б|,Б|
СеТ УМ12ТЪЦЏ,69,7,1,Б|,6,43,6,2,4,3,2,6,6,7,3,4,19,6,4,2,4,2,1,Б|,Б|
СеТ РЉ 6ТЪЦЏ,15,Б|,Б|,Б|,Б|,11,Б|,Б|,1,1,2,Б|,3,3,1,Б|,4,2,Б|,Б|,1,1,Б|,Б|,Б|
СеТ РЉ 7ТЪЦЏ,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 8ТЪЦЏ,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 9ТЪЦЏ,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ10ТЪЦЏ,142,5,2,2,1,96,2,2,8,8,8,8,8,14,14,24,41,15,9,5,7,4,1,Б|,Б|
СеТ РЉ11ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ12ТЪЦЏ,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ13ТЪЦЏ,24,Б|,Б|,Б|,Б|,18,1,4,3,4,2,Б|,1,1,Б|,2,6,2,1,2,1,Б|,Б|,Б|,Б|
СеТ РЉ14ТЪЦЏ,116,14,6,7,1,83,7,12,11,15,9,9,3,9,5,3,19,6,3,2,2,3,1,2,Б|
СеТ РЉ15ТЪЦЏ,328,20,13,3,4,253,12,38,35,47,24,11,16,21,25,24,55,15,17,13,3,4,3,Б|,Б|
СеТ РЉ16ТЪЦЏ,368,28,14,8,6,312,13,42,59,44,35,34,18,26,21,20,28,4,9,6,3,5,Б|,1,Б|
СеТ РЉ17ТЪЦЏ,275,12,3,4,5,227,18,49,47,22,20,10,15,13,18,15,36,11,6,11,4,2,2,Б|,Б|
СеТ РЉ18ТЪЦЏ,340,10,6,4,Б|,270,14,35,37,52,30,14,21,31,18,18,60,18,21,12,2,4,2,1,Б|
СеТ РЉ19ТЪЦЏ,191,1,Б|,1,Б|,117,10,12,21,13,10,15,12,9,6,9,73,10,13,9,16,16,8,1,Б|
СеТ РЉ20ТЪЦЏ,230,21,9,6,6,164,5,21,22,17,21,23,18,16,17,4,45,13,11,15,5,Б|,Б|,1,Б|
СеТ РЉ21ТЪЦЏ,225,16,6,3,7,146,10,12,12,16,17,15,9,24,12,19,63,22,19,8,8,2,4,Б|,Б|
СеТ РЉ22ТЪЦЏ,241,34,10,14,10,166,5,22,27,27,25,11,13,17,10,9,41,11,10,8,4,5,3,Б|,Б|
СеТ РЉ23ТЪЦЏ,472,41,16,18,7,375,17,45,53,75,41,41,29,39,22,13,56,15,16,13,8,2,2,Б|,Б|
СеТ РЉ24ТЪЦЏ,436,43,15,15,13,324,15,22,27,45,48,30,32,48,33,24,69,25,19,14,6,2,2,1,Б|
СеТ РЉ25ТЪЦЏ,78,6,1,3,2,51,3,7,1,8,3,5,8,5,4,7,21,8,5,3,2,2,1,Б|,Б|
СеТ РЉ26ТЪЦЏ,258,22,7,3,12,208,12,23,29,26,18,17,25,29,18,11,28,8,10,6,2,2,Б|,Б|,Б|
СеТ РЉ27ТЪЦЏ,144,24,9,9,6,104,7,3,8,10,19,16,14,14,9,4,16,4,6,4,Б|,2,Б|,Б|,Б|
СеТ РЉ28ТЪЦЏ,211,32,17,12,3,146,6,5,11,41,35,14,12,6,6,10,33,14,9,6,2,Б|,1,1,Б|
Ум 1ПрУМ 2ТЪЦЏ,83,1,1,Б|,Б|,75,2,14,11,12,6,8,7,9,2,4,7,3,2,Б|,2,Б|,Б|,Б|,Б|
Ум 1ПрУМ 3ТЪЦЏ,27,1,Б|,Б|,1,16,1,2,1,2,1,Б|,2,4,2,1,10,4,3,1,1,1,Б|,Б|,Б|
Ум 1ПрУМ 4ТЪЦЏ,103,6,4,1,1,81,1,17,6,13,12,10,7,10,3,2,16,2,7,2,2,2,Б|,1,Б|
Ум 1ПрУМ 5ТЪЦЏ,244,19,8,5,6,203,13,13,13,26,26,29,24,35,16,8,22,2,6,8,4,2,Б|,Б|,Б|
Ум 1ПрУМ 6ТЪЦЏ,154,11,4,3,4,114,5,11,20,22,16,8,8,8,10,6,29,11,10,3,3,2,Б|,Б|,Б|
Ум 1ПрУМ 7ТЪЦЏ,357,43,10,17,16,270,13,24,45,33,25,26,26,34,31,13,44,13,12,9,6,Б|,3,1,Б|
Ум 1ПрУМ 8ТЪЦЏ,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрУМ 1ТЪЦЏ,50,3,1,1,1,33,4,1,Б|,Б|,3,5,6,7,5,2,14,5,3,4,1,1,Б|,Б|,Б|
Ум 2ПрУМ 2ТЪЦЏ,127,2,2,Б|,Б|,108,2,33,30,11,7,2,5,8,7,3,17,5,7,3,2,Б|,Б|,Б|,Б|
Ум 2ПрУМ 3ТЪЦЏ,121,5,3,Б|,2,103,6,16,23,15,17,6,8,7,4,1,13,4,3,3,2,1,Б|,Б|,Б|
Ум 2ПрУМ 4ТЪЦЏ,243,17,9,3,5,170,9,9,16,22,23,13,14,34,14,16,56,22,14,8,6,3,3,Б|,Б|
Ум 2ПрУМ 5ТЪЦЏ,173,16,5,5,6,134,7,19,20,16,18,5,11,20,11,7,23,2,5,6,5,2,3,Б|,Б|
Ум 2ПрУМ 6ТЪЦЏ,629,51,15,15,21,434,32,35,24,30,30,38,56,77,50,62,144,57,37,20,23,5,2,Б|,Б|
Ум 3ПрУМ 1ТЪЦЏ,156,13,5,3,5,99,1,Б|,12,10,15,13,9,12,8,19,44,16,10,9,5,3,1,Б|,Б|
Ум 3ПрУМ 2ТЪЦЏ,297,25,10,9,6,207,11,16,24,20,21,21,18,33,24,19,65,19,19,16,4,4,3,Б|,Б|
Ум 3ПрУМ 3ТЪЦЏ,68,4,2,1,1,41,1,7,10,5,2,2,5,3,5,1,23,9,4,2,5,2,1,Б|,Б|
Ум 3ПрУМ 4ТЪЦЏ,164,8,3,1,4,139,4,32,22,17,15,7,10,8,15,9,17,7,6,Б|,1,2,1,Б|,Б|
Ум 3ПрУМ 6ТЪЦЏ,21,Б|,Б|,Б|,Б|,17,Б|,6,1,2,Б|,Б|,3,4,1,Б|,4,Б|,Б|,4,Б|,Б|,Б|,Б|,Б|
Ум 4ПрУМ 1ТЪЦЏ,18,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 4ПрУМ 2ТЪЦЏ,195,4,4,Б|,Б|,157,1,27,27,28,11,12,13,16,12,10,34,5,12,6,5,2,4,Б|,Б|
Ум 4ПрУМ 3ТЪЦЏ,146,5,Б|,1,4,119,10,19,23,10,13,10,9,14,7,4,22,3,9,3,3,3,1,Б|,Б|
Ум 4ПрУМ 4ТЪЦЏ,179,2,Б|,1,1,156,7,38,31,22,9,6,16,11,9,7,21,4,9,4,2,1,1,Б|,Б|
Ум 4ПрУМ 5ТЪЦЏ,237,9,2,3,4,188,8,33,34,34,19,13,12,16,11,8,40,14,10,8,4,4,Б|,Б|,Б|
Ум 5ПрУМ 1ТЪЦЏ,106,9,1,6,2,76,5,7,7,12,4,8,11,10,8,4,21,8,5,7,1,Б|,Б|,Б|,Б|
Ум 5ПрУМ 2ТЪЦЏ,159,7,2,2,3,109,6,18,16,12,5,8,9,16,11,8,43,12,11,12,5,1,1,1,Б|
Ум 5ПрУМ 3ТЪЦЏ,161,4,2,1,1,129,7,18,31,26,8,4,7,9,14,5,28,9,6,5,3,2,2,1,Б|
Ум 5ПрУМ 5ТЪЦЏ,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 6ПрУМ 1ТЪЦЏ,41,3,2,Б|,1,37,Б|,1,9,5,4,4,2,7,3,2,1,1,Б|,Б|,Б|,Б|,Б|,Б|,Б|
Ум 6ПрУМ 2ТЪЦЏ,108,6,1,2,3,82,5,16,7,11,5,5,12,10,5,6,20,6,6,2,2,4,Б|,Б|,Б|
Ум 6ПрУМ 3ТЪЦЏ,13,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 7ПрУМ 2ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 1ТЪЦЏ,13,Б|,Б|,Б|,Б|,8,Б|,Б|,Б|,2,Б|,1,1,1,1,2,5,2,2,1,Б|,Б|,Б|,Б|,Б|
Ум 1ПрРЉ 4ТЪЦЏ,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 5ТЪЦЏ,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 6ТЪЦЏ,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 7ТЪЦЏ,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 8ТЪЦЏ,80,10,5,2,3,57,6,Б|,6,5,5,6,10,11,3,5,13,3,3,2,2,2,1,Б|,Б|
Ум 1ПрРЉ 9ТЪЦЏ,78,5,Б|,5,Б|,63,Б|,14,14,11,4,1,1,6,4,8,10,5,1,2,2,Б|,Б|,Б|,Б|
Ум 1ПрРЉ10ТЪЦЏ,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ11ТЪЦЏ,51,1,Б|,1,Б|,49,Б|,18,14,7,3,3,1,3,Б|,Б|,1,1,Б|,Б|,Б|,Б|,Б|,Б|,Б|
Ум 1ПрРЉ12ТЪЦЏ,106,10,2,3,5,81,Б|,14,15,12,10,10,8,8,1,3,15,1,5,3,4,1,Б|,1,Б|
Ум 1ПрРЉ13ТЪЦЏ,123,21,14,6,1,89,2,3,25,14,11,6,3,16,4,5,13,5,4,1,3,Б|,Б|,Б|,Б|
Ум 1ПрРЉ14ТЪЦЏ,107,3,Б|,1,2,93,4,24,22,6,7,8,6,5,4,7,11,3,4,2,1,Б|,1,Б|,Б|
Ум 1ПрРЉ15ТЪЦЏ,105,6,4,2,Б|,86,8,20,13,11,9,5,5,10,3,2,13,7,2,1,2,Б|,Б|,1,Б|
Ум 1ПрРЉ16ТЪЦЏ,84,1,1,Б|,Б|,76,3,12,21,6,6,6,8,6,5,3,7,Б|,2,4,1,Б|,Б|,Б|,Б|
Ум 1ПрРЉ17ТЪЦЏ,140,3,2,1,Б|,111,1,6,14,12,12,9,14,9,15,19,26,7,9,4,1,3,1,1,Б|
Ум 1ПрРЉ18ТЪЦЏ,131,16,4,7,5,100,8,18,14,12,8,13,8,7,5,7,15,5,4,4,1,Б|,1,Б|,Б|
Ум 1ПрРЉ19ТЪЦЏ,281,20,10,8,2,229,11,19,46,44,29,15,18,14,21,12,32,5,9,10,5,3,Б|,Б|,Б|
Ум 1ПрРЉ20ТЪЦЏ,125,12,4,4,4,98,2,8,15,19,8,6,9,17,9,5,15,4,6,2,1,Б|,2,Б|,Б|
Ум 1ПрРЉ21ТЪЦЏ,228,24,14,7,3,177,6,18,17,28,32,18,18,16,14,10,27,12,5,6,2,Б|,2,Б|,Б|
Ум 1ПрРЉ22ТЪЦЏ,106,5,4,1,Б|,91,1,23,23,14,5,5,5,8,6,1,10,3,2,5,Б|,Б|,Б|,Б|,Б|
Ум 1ПрРЉ23ТЪЦЏ,387,60,20,24,16,278,18,21,19,26,38,43,36,27,24,26,49,13,22,8,3,2,1,Б|,Б|
Ум 1ПрРЉ24ТЪЦЏ,157,21,6,6,9,129,10,3,18,20,21,19,13,13,4,8,7,2,3,Б|,1,Б|,Б|,1,Б|
Ум 1ПрРЉ25ТЪЦЏ,254,39,12,19,8,190,11,7,26,24,30,22,17,19,17,17,25,7,11,3,1,1,2,Б|,Б|
Ум 1ПрРЉ26ТЪЦЏ,54,6,2,1,3,37,3,2,1,5,1,7,5,4,4,5,11,3,1,3,3,1,Б|,Б|,Б|
Ум 1ПрРЉ27ТЪЦЏ,212,29,7,11,11,144,12,11,10,11,16,12,19,23,19,11,39,13,11,6,6,Б|,2,1,Б|
Ум 1ПрРЉ28ТЪЦЏ,48,4,2,1,1,37,1,6,5,7,5,1,4,4,2,2,7,2,3,1,Б|,Б|,1,Б|,Б|
Ум 2ПрРЉ 1ТЪЦЏ,21,Б|,Б|,Б|,Б|,11,1,Б|,Б|,4,Б|,1,2,Б|,Б|,3,10,6,1,1,Б|,2,Б|,Б|,Б|
Ум 2ПрРЉ 2ТЪЦЏ,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрРЉ 3ТЪЦЏ,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрРЉ 4ТЪЦЏ,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрРЉ 5ТЪЦЏ,56,Б|,Б|,Б|,Б|,34,Б|,2,7,4,3,1,3,6,3,5,22,4,3,4,6,4,1,Б|,Б|
