ТnЦЉ,РlМы,ФNП≠РlМы,0Б` 4Нќ,5Б` 9,10Б`14,РґОYФNЧо  Рl    Мы,15Б`19Нќ,20Б`24,25Б`29,30Б`34,35Б`39,40Б`44,45Б`49,50Б`54,55Б`59,60Б`64,ШVФNРlМы,65Б`69Нќ,70Б`74,75Б`79,80Б`84,85Б`89,90Б`94,95Б`99,100Нќ  И»Пг
СSОs,"1,851,125","240,481","75,164","79,990","85,327","1,315,432","102,715","131,125","148,175","152,656","132,155","125,083","125,111","157,502","130,434","110,476","295,212","95,008","80,046","57,692","34,395","18,245","7,722","1,883",221
ТЖЙЫЛж,"187,481","21,138","6,883","7,069","7,186","135,365","8,780","14,161","15,871","16,918","15,302","14,064","12,627","14,856","12,474","10,312","30,978","9,386","8,273","6,152","3,849","2,043",979,262,34
СеТ УМ 2ТЪЦЏ,36,1,1,Б|,Б|,22,Б|,3,2,1,2,4,2,2,1,5,13,6,4,1,Б|,1,1,Б|,Б|
СеТ УМ 3ТЪЦЏ,79,Б|,Б|,Б|,Б|,64,9,16,12,5,6,2,2,9,3,Б|,15,2,2,4,4,2,1,Б|,Б|
СеТ УМ 4ТЪЦЏ,84,2,2,Б|,Б|,59,11,17,4,3,1,1,8,9,4,1,23,8,3,1,4,5,2,Б|,Б|
СеТ УМ 5ТЪЦЏ,191,3,Б|,1,2,137,8,18,20,14,8,5,13,18,18,15,51,9,7,15,13,4,3,Б|,Б|
СеТ УМ 6ТЪЦЏ,23,3,Б|,3,Б|,15,1,5,2,2,3,2,Б|,Б|,Б|,Б|,5,2,2,Б|,Б|,Б|,1,Б|,Б|
СеТ УМ 7ТЪЦЏ,182,20,10,6,4,136,7,12,16,27,18,12,8,16,9,11,26,3,5,12,4,1,1,Б|,Б|
СеТ УМ 8ТЪЦЏ,336,34,9,16,9,260,12,27,33,43,31,29,28,22,17,18,42,18,7,10,4,2,1,Б|,Б|
СеТ УМ 9ТЪЦЏ,248,22,4,12,6,202,2,9,31,28,27,34,19,21,12,19,24,11,6,2,2,2,1,Б|,Б|
СеТ УМ10ТЪЦЏ,355,60,21,25,14,263,14,20,25,31,33,44,32,33,21,10,32,13,5,9,3,2,Б|,Б|,Б|
СеТ УМ11ТЪЦЏ,199,10,2,4,4,119,4,5,9,4,8,11,10,21,22,25,70,33,22,8,3,2,2,Б|,Б|
СеТ УМ12ТЪЦЏ,62,5,1,1,3,42,7,1,4,5,1,3,5,6,5,5,15,6,5,1,2,1,Б|,Б|,Б|
СеТ РЉ 1ТЪЦЏ,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 5ТЪЦЏ,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 6ТЪЦЏ,14,Б|,Б|,Б|,Б|,10,Б|,Б|,Б|,Б|,2,3,Б|,4,1,Б|,4,2,Б|,1,Б|,1,Б|,Б|,Б|
СеТ РЉ 8ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ 9ТЪЦЏ,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ10ТЪЦЏ,155,5,1,2,2,91,2,2,9,10,11,9,9,12,12,15,59,21,14,10,9,4,1,Б|,Б|
СеТ РЉ11ТЪЦЏ,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ12ТЪЦЏ,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
СеТ РЉ13ТЪЦЏ,21,Б|,Б|,Б|,Б|,15,Б|,4,3,3,1,Б|,1,1,1,1,6,Б|,2,2,2,Б|,Б|,Б|,Б|
СеТ РЉ14ТЪЦЏ,113,15,2,8,5,82,6,13,13,11,11,6,4,6,10,2,16,7,3,2,1,2,1,Б|,Б|
СеТ РЉ15ТЪЦЏ,349,19,13,4,2,272,16,41,43,35,35,14,20,22,14,32,58,15,12,17,6,2,6,Б|,Б|
СеТ РЉ16ТЪЦЏ,351,20,9,4,7,285,12,33,41,38,29,31,27,30,19,25,46,17,9,8,3,6,1,2,Б|
СеТ РЉ17ТЪЦЏ,284,11,3,3,5,230,12,60,40,34,19,12,15,11,17,10,43,18,8,8,4,3,1,1,Б|
СеТ РЉ18ТЪЦЏ,379,16,10,5,1,296,15,54,47,42,35,17,17,29,22,18,67,21,21,11,8,3,2,1,Б|
СеТ РЉ19ТЪЦЏ,206,5,2,2,1,128,7,23,22,12,13,12,11,8,10,10,73,8,12,14,19,8,11,1,Б|
СеТ РЉ20ТЪЦЏ,257,20,6,10,4,187,9,20,17,18,27,22,25,16,23,10,50,9,15,16,7,2,Б|,1,Б|
СеТ РЉ21ТЪЦЏ,224,16,5,5,6,141,10,10,17,14,21,14,11,11,19,14,67,18,22,14,6,4,2,1,Б|
СеТ РЉ22ТЪЦЏ,233,21,2,8,11,178,18,21,26,21,20,21,13,15,14,9,34,8,7,11,3,2,3,Б|,Б|
СеТ РЉ23ТЪЦЏ,461,48,9,24,15,366,13,43,55,49,50,39,40,38,24,15,47,9,16,15,4,2,Б|,1,Б|
СеТ РЉ24ТЪЦЏ,434,46,16,13,17,317,16,15,28,34,46,38,35,39,40,26,71,26,16,16,9,3,1,Б|,Б|
СеТ РЉ25ТЪЦЏ,71,7,1,2,4,39,1,3,3,3,6,1,7,7,2,6,25,8,5,5,3,1,2,1,Б|
СеТ РЉ26ТЪЦЏ,250,19,7,3,9,197,17,28,20,20,18,22,22,18,10,22,34,7,14,6,5,2,Б|,Б|,Б|
СеТ РЉ27ТЪЦЏ,143,24,10,10,4,100,4,3,10,13,9,18,13,12,11,7,19,3,8,7,1,Б|,Б|,Б|,Б|
СеТ РЉ28ТЪЦЏ,248,41,26,12,3,170,5,8,21,27,46,27,10,13,6,7,37,13,11,5,6,Б|,1,1,Б|
Ум 1ПрУМ 2ТЪЦЏ,114,5,4,1,Б|,103,2,13,24,23,12,6,10,10,1,2,6,1,3,1,1,Б|,Б|,Б|,Б|
Ум 1ПрУМ 3ТЪЦЏ,170,12,3,4,5,134,5,12,11,25,16,9,17,17,12,10,24,8,10,2,2,2,Б|,Б|,Б|
Ум 1ПрУМ 4ТЪЦЏ,92,6,4,1,1,72,1,7,8,6,13,12,10,8,6,1,14,Б|,5,5,2,2,Б|,Б|,Б|
Ум 1ПрУМ 5ТЪЦЏ,290,24,13,7,4,237,10,21,15,21,37,32,26,34,25,16,29,7,5,11,4,2,Б|,Б|,Б|
Ум 1ПрУМ 6ТЪЦЏ,151,12,3,4,5,114,4,10,16,23,16,10,10,9,8,8,25,9,4,8,2,2,Б|,Б|,Б|
Ум 1ПрУМ 7ТЪЦЏ,352,48,16,14,18,260,14,21,36,33,27,21,28,27,28,25,44,11,11,9,10,Б|,2,1,Б|
Ум 1ПрУМ 8ТЪЦЏ,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрУМ 1ТЪЦЏ,58,3,Б|,2,1,35,1,4,2,2,1,2,6,4,7,6,20,5,4,5,4,2,Б|,Б|,Б|
Ум 2ПрУМ 2ТЪЦЏ,139,4,Б|,3,1,121,11,32,26,13,12,3,4,4,13,3,14,3,6,1,2,2,Б|,Б|,Б|
Ум 2ПрУМ 3ТЪЦЏ,135,Б|,Б|,Б|,Б|,122,3,19,28,19,23,8,9,6,4,3,13,3,2,5,1,2,Б|,Б|,Б|
Ум 2ПрУМ 4ТЪЦЏ,236,15,7,5,3,160,8,6,13,18,21,13,8,36,24,13,61,16,21,7,9,6,2,Б|,Б|
